Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Relative Citation Ratio,Unnamed: 21,_year_int,_issn_norm,APC 2025 (USD),Publisher,Journal
P41GM135018,"Department of Obstetrics, Gynecology and Reproductive Sciences, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, USA.",2025,"Balough, Julia L; O'Halloran, Thomas V; Duncan, Francesca E; Woodruff, Teresa K",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40463183'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,12132419,40463183,2025 May 18,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12132419'>Inorganic profiles of preimplantation embryos reveal a role for zinc in blastocyst development.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40463183&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12132419/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40463183'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12132419/'>Cited By, Google</a>", ,PMID(40463183) OR  ,2025,26928205,,,
K08NS131581,"Division of Molecular Biology and Human Genetics, Department of Biomedical Sciences, Faculty of Medicine and Health Sciences, Stellenbosch University, Cape Town, South Africa.",2025,"Step, Kathryn; HernÃ¡ndez, Carlos F; Eltaraifee, Esraa; HernÃ¡ndez-Medrano, Ana Jimena; Kung, Pin-Jui; OstroÅ¾oviÄovÃ¡, Miriam; Zirra, Alexandra; PÃ©rez-Palma, Eduardo; Mencacci, NiccolÃ² E; Keller Sarmiento, Ignacio J; Morris, Huw R; Mata, Ignacio F; Global Parkinsonâ€™s Genetics Program (GP2); Acosta-Uribe, Juliana; Fang, Zih-Hua; Bandres-Ciga, Sara",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40475162'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12140525,40475162,2025 May 22,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12140525'>Genome-wide assessment identifies novel runs of homozygosity linked to Parkinson's disease etiology across diverse ancestral populations.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40475162&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12140525/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40475162'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12140525/'>Cited By, Google</a>", ,PMID(40475162) OR  ,2025,,,,
R01CA282664,"Department of Biomedical Sciences, Cedars-Sinai Medical Center, Los Angeles, CA 90048, USA.",2025,"Helmueller, Sarah; Lee, Sanghee; Song, Xinxin; Kim, Dong-Hyun; Lee, Yong J",United States,1226-4601, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40497140'>Biomaterials research</a>,Biomater Res,29,eng,0217,12149531,40497140,2025,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12149531'>Tumoricidal Efficacy of Artesunate-Eluting Microsphere: Differential Role of Bax/Bak in Orchestration of Cell Death Pathways.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40497140&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12149531/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40497140'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12149531/'>Cited By, Google</a>", ,PMID(40497140) OR  ,2025,12264601,,,
OT2OD026557,"Howard Hughes Medical Institute and Department of Molecular Biology, Massachusetts General Hospital, Boston, MA, USA.",2025,"Gupta, Rahul; Durham, Timothy J; Chau, Grant; Uddin, Md Mesbah; Lu, Wenhan; Karczewski, Konrad J; Howrigan, Daniel; Natarajan, Pradeep; Zhou, Wei; Neale, Benjamin M; Mootha, Vamsi K",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40501828'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,12154970,40501828,2025 May 28,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12154970'>Mechanism of age-related accumulation of mitochondrial DNA mutations in human blood.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40501828&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12154970/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40501828'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12154970/'>Cited By, Google</a>", ,PMID(40501828) OR  ,2025,26928205,,,
R00HG012593,"School of Biological Sciences, University of Utah; Salt Lake City, UT, 84112, USA.",2025,"Carey, Clayton M; Parvez, Saba; Brandt, Zachary J; Bisgrove, Brent W; Yates, Christopher J; Peterson, Randall T; Gagnon, James A",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502104'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,12154860,40502104,2025 May 29,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12154860'>MIC-Drop-seq: Scalable single-cell phenotyping of mutant vertebrate embryos.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502104&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12154860/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502104'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12154860/'>Cited By, Google</a>", ,PMID(40502104) OR  ,2025,26928205,,,
U19AG073153,"Cerebral Imaging Centre, Douglas Mental Health University Institute, MontrÃ©al, QuÃ©bec, Canada, H4H 1R3.",2025,"Alasmar, Zaki; Tremblay, CÃ©cilia; Moqadam, Roqaie; Serrano, Geidy E; Beach, Thomas G; Atri, Alizera; Su, Yi; Zeighami, Yashar; Dadar, Mahsa",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502575'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12154994,40502575,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12154994'>Gray matter microstructure from in-vivo diffusion MRI reflects post-mortem neuropathology severity and clinical progression of Alzheimer's disease.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502575&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12154994/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502575'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12154994/'>Cited By, Google</a>", ,PMID(40502575) OR  ,2025,,,,
P30AG013854,"Cerebral Imaging Centre, Douglas Mental Health University Institute, MontrÃ©al, QuÃ©bec, Canada, H4H 1R3.",2025,"Alasmar, Zaki; Tremblay, CÃ©cilia; Moqadam, Roqaie; Serrano, Geidy E; Beach, Thomas G; Atri, Alizera; Su, Yi; Zeighami, Yashar; Dadar, Mahsa",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502575'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12154994,40502575,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12154994'>Gray matter microstructure from in-vivo diffusion MRI reflects post-mortem neuropathology severity and clinical progression of Alzheimer's disease.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502575&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12154994/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502575'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12154994/'>Cited By, Google</a>", ,PMID(40502575) OR  ,2025,,,,
R56AG045571,"Cerebral Imaging Centre, Douglas Mental Health University Institute, MontrÃ©al, QuÃ©bec, Canada, H4H 1R3.",2025,"Alasmar, Zaki; Tremblay, CÃ©cilia; Moqadam, Roqaie; Serrano, Geidy E; Beach, Thomas G; Atri, Alizera; Su, Yi; Zeighami, Yashar; Dadar, Mahsa",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502575'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12154994,40502575,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12154994'>Gray matter microstructure from in-vivo diffusion MRI reflects post-mortem neuropathology severity and clinical progression of Alzheimer's disease.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502575&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12154994/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502575'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12154994/'>Cited By, Google</a>", ,PMID(40502575) OR  ,2025,,,,
U19AI181102,"Department of Computer Science, Northwestern University McCormick School of Engineering and Applied Science, Chicago, IL, United States.",2025,"Peltekian, Alec K; Grudzinski, Kevin M; Bemiss, Bradford C; Dematte, Jane E; Richardson, Carrie; Markov, Nikolay S; Carns, Mary; Aren, Kathleen; Field, Natania S; Zhu, Mengou; Soriano, Alexandra; Dapas, Matthew; Perlman, Harris; Gundersheimer, Aaron; Selvan, Kavitha C; Moore, Duncan F; Rasmussen, Luke V; Varga, John; Hinchcliff, Monique; Warrior, Krishnan; Gao, Catherine A; Wunderink, Richard G; Budinger, Gr Scott; Choudhary, Alok; Misharin, Alexander V; Agrawal, Ankit; Esposito, Anthony J",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502596'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12155007,40502596,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12155007'>Machine Learning Analysis of Electronic Health Records Identifies Interstitial Lung Disease and Predicts Mortality in Patients with Systemic Sclerosis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502596&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12155007/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502596'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12155007/'>Cited By, Google</a>", ,PMID(40502596) OR  ,2025,,,,
U01TR003528,"Department of Computer Science, Northwestern University McCormick School of Engineering and Applied Science, Chicago, IL, United States.",2025,"Peltekian, Alec K; Grudzinski, Kevin M; Bemiss, Bradford C; Dematte, Jane E; Richardson, Carrie; Markov, Nikolay S; Carns, Mary; Aren, Kathleen; Field, Natania S; Zhu, Mengou; Soriano, Alexandra; Dapas, Matthew; Perlman, Harris; Gundersheimer, Aaron; Selvan, Kavitha C; Moore, Duncan F; Rasmussen, Luke V; Varga, John; Hinchcliff, Monique; Warrior, Krishnan; Gao, Catherine A; Wunderink, Richard G; Budinger, Gr Scott; Choudhary, Alok; Misharin, Alexander V; Agrawal, Ankit; Esposito, Anthony J",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502596'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12155007,40502596,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12155007'>Machine Learning Analysis of Electronic Health Records Identifies Interstitial Lung Disease and Predicts Mortality in Patients with Systemic Sclerosis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502596&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12155007/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502596'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12155007/'>Cited By, Google</a>", ,PMID(40502596) OR  ,2025,,,,
K23HL169815,"Department of Computer Science, Northwestern University McCormick School of Engineering and Applied Science, Chicago, IL, United States.",2025,"Peltekian, Alec K; Grudzinski, Kevin M; Bemiss, Bradford C; Dematte, Jane E; Richardson, Carrie; Markov, Nikolay S; Carns, Mary; Aren, Kathleen; Field, Natania S; Zhu, Mengou; Soriano, Alexandra; Dapas, Matthew; Perlman, Harris; Gundersheimer, Aaron; Selvan, Kavitha C; Moore, Duncan F; Rasmussen, Luke V; Varga, John; Hinchcliff, Monique; Warrior, Krishnan; Gao, Catherine A; Wunderink, Richard G; Budinger, Gr Scott; Choudhary, Alok; Misharin, Alexander V; Agrawal, Ankit; Esposito, Anthony J",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502596'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12155007,40502596,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12155007'>Machine Learning Analysis of Electronic Health Records Identifies Interstitial Lung Disease and Predicts Mortality in Patients with Systemic Sclerosis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502596&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12155007/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502596'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12155007/'>Cited By, Google</a>", ,PMID(40502596) OR  ,2025,,,,
P30AG072977,"Douglas Research Center, MontrÃ©al, QC, H4H 1R3, Canada.",2025,"Raeesi, Shima; Zeighami, Yashar; Moqadam, Roqaie; Morrison, Cassandra; Dadar, Mahsa",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502602'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12155032,40502602,2025 Jun 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12155032'>Vascular risk factors mediate the relationship between education and white matter hyperintensities.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502602&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12155032/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502602'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12155032/'>Cited By, Google</a>", ,PMID(40502602) OR  ,2025,,,,
UL1TR001422,"School of Public Health, University of California, Berkeley, Berkeley, CA USA.",2025,"Butzin-Dozier, Zachary; Ji, Yunwen; Wang, Lin-Chiun; Anzalone, A Jerrod; Hurwitz, Eric; Patel, Rena C; van der Laan, Mark J; Colford Jr, John M; Hubbard, Alan E",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502605'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,12155030,40502605,2025 Jun 11,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12155030'>Causal Inference via Electronic Health Records in the National Clinical Cohort Collaborative: Challenges and Solutions in Long COVID Research.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502605&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12155030/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502605'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12155030/'>Cited By, Google</a>", ,PMID(40502605) OR  ,2025,,,,
R01CA246704,Northwestern University.,2025,"Bejar, Andrea M; Gonzalez, MarÃ­a Jaramillo; Hong, Ziliang; Durak, Gorkem; Keles, Elif; Aktas, Halil Ertugrul; Zhang, Zheyuan; Pan, Hongyi; Jozwiak, Zeynep Sue; Bol, Fergan; Zhao, Lili; Chen, Chao; Spampinato, Concetto; Medetalibeyoglu, Alpay; Erturk, Sukru Mehmet; Kartal, Gulbiz Dagoglu; Velichko, Yury; Agarunov, Emil; Xu, Ziyue; Jambawalikar, Sachin; Schoots, Ivo G; Bruno, Marco J; Huang, Chenchang; Gonda, Tamas; Bolan, Candice; Miller, Frank H; Wallace, Michael B; Keswani, Rajesh N; Tiwari, Pallavi; Bagci, Ulas",United States,2693-5015, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40502758'>Research square</a>,Res Sq, ,eng, ,12154134,40502758,2025 May 30,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12154134'>Multi-center evaluation of radiomics and deep learning to stratify malignancy risk of IPMNs.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40502758&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12154134/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40502758'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12154134/'>Cited By, Google</a>", ,PMID(40502758) OR  ,2025,26935015,,,
R01NS075075,"Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.",2025,"Moscoso, Alexis; Heeman, Fiona; Raghavan, Sheelakumari; Costoya-SÃ¡nchez, Alejandro; van Essen, Martijn; Mainta, Ismini; Camacho, Valle; RodrÃ­guez-Fonseca, Omar; Silva-RodrÃ­guez, JesÃºs; Perissinotti, AndrÃ©s; Gu, Yuna; Yun, Jihwan; Peretti, Debora; Ribaldi, Federica; Coomans, Emma M; Brum, Wagner S; Grothe, Michel J; Aguiar, Pablo; Bischof, GÃ©rard N; Drzezga, Alexander; Seo, Sang Won; Villeneuve, Sylvia; Malpetti, Maura; O'Brien, John T; Rowe, James B; van de Giessen, Elsmarieke M; Ossenkoppele, Rik; Jagust, William J; Smith, Ruben; Hansson, Oskar; Frisoni, Giovanni B; Garibotto, Valentina; Soleimani-Meigooni, David N; Carrillo, Maria; Dickerson, Bradford C; La Joie, Renaud; Rabinovici, Gil D; Apostolova, Liana G; LaMontagne, Pamela J; Pontecorvo, Michael J; Johnson, Keith A; Sperling, Reisa A; Weiner, Michael W; Petersen, Ronald C; Jack Jr, Clifford R; Vemuri, Prashanthi; SchÃ¶ll, Michael; PREVENT-AD Research Group, the Harvard Aging Brain Study, the LEADS Consortium, and the Alzheimerâ€™s Disease Neuroimaging Initiative",United States,1538-3598,3,<a href='https://pubmed.ncbi.nlm.nih.gov/40522652'>JAMA</a>,JAMA,334,eng,229-242, ,40522652,2025 Jul 15,Frequency and Clinical Outcomes Associated With Tau Positron Emission Tomography Positivity.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40522652&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Frequency and Clinical Outcomes Associated With Tau Positron Emission Tomography Positivity.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40522652'>Cited By, PMID</a>", , ,PMID(40522652) OR  ,2025,15383598,,,
R01AG045571,"Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.",2025,"Moscoso, Alexis; Heeman, Fiona; Raghavan, Sheelakumari; Costoya-SÃ¡nchez, Alejandro; van Essen, Martijn; Mainta, Ismini; Camacho, Valle; RodrÃ­guez-Fonseca, Omar; Silva-RodrÃ­guez, JesÃºs; Perissinotti, AndrÃ©s; Gu, Yuna; Yun, Jihwan; Peretti, Debora; Ribaldi, Federica; Coomans, Emma M; Brum, Wagner S; Grothe, Michel J; Aguiar, Pablo; Bischof, GÃ©rard N; Drzezga, Alexander; Seo, Sang Won; Villeneuve, Sylvia; Malpetti, Maura; O'Brien, John T; Rowe, James B; van de Giessen, Elsmarieke M; Ossenkoppele, Rik; Jagust, William J; Smith, Ruben; Hansson, Oskar; Frisoni, Giovanni B; Garibotto, Valentina; Soleimani-Meigooni, David N; Carrillo, Maria; Dickerson, Bradford C; La Joie, Renaud; Rabinovici, Gil D; Apostolova, Liana G; LaMontagne, Pamela J; Pontecorvo, Michael J; Johnson, Keith A; Sperling, Reisa A; Weiner, Michael W; Petersen, Ronald C; Jack Jr, Clifford R; Vemuri, Prashanthi; SchÃ¶ll, Michael; PREVENT-AD Research Group, the Harvard Aging Brain Study, the LEADS Consortium, and the Alzheimerâ€™s Disease Neuroimaging Initiative",United States,1538-3598,3,<a href='https://pubmed.ncbi.nlm.nih.gov/40522652'>JAMA</a>,JAMA,334,eng,229-242, ,40522652,2025 Jul 15,Frequency and Clinical Outcomes Associated With Tau Positron Emission Tomography Positivity.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40522652&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Frequency and Clinical Outcomes Associated With Tau Positron Emission Tomography Positivity.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40522652'>Cited By, PMID</a>", , ,PMID(40522652) OR  ,2025,15383598,,,
