Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Relative Citation Ratio,_pmid_norm,_year_int,_issn_norm,_title_norm,APC 2025 (USD),Publisher,Journal,_journal_label,_publisher,apc_original,_waived_by_issn,_waived_by_title,_is_waived,apc_effective
T32HD007418, ,2024,"Sahani, Ridhi; Reyna, William E; Royston, Thomas; Perreault, Eric J; Ludvig, Daniel",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39211265'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11360966,39211265,2024 Aug 03,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11360966'>Along- and cross-muscle fiber shear moduli in skeletal muscle.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39211265&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11360966/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39211265'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11360966/'>Cited By, Google</a>", ,39211265,2024,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
T32GM008061,"Department of Pathology, Northwestern University, USA; Center for Human Immunobiology, Northwestern University, USA.",2024,"Mani, Nikita L; Weinberg, Samuel E; Chaudhuri, Shuvam; Montauti, Elena; Tang, Amy; Iyer, Radhika; Fang, Deyu",England,1872-9142, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39213947'>Molecular immunology</a>,Mol Immunol,174,eng,57-68,11681611,39213947,2024 Oct,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11681611'>Acidity induces durable enhancement of Treg cell suppressive functions for tumor immune evasion.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39213947&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11681611/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39213947'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11681611/'>Cited By, Google</a>", ,39213947,2024,18729142,mol immunol,,,,Mol Immunol,Unknown,,False,False,False,
OT2OD026557,"Department of Cardiology, Children's Hospital of Soochow University, Suzhou, China.",2024,"Shen, Jie; Valentim, Wander; Friligkou, Eleni; Overstreet, Cassie; Choi, Karmel; Koller, Dora; O'Donnell, Christopher J; Stein, Murray B; Gelernter, Joel; Posttraumatic Stress Disorder Working Group of the Psychiatric Genomics Consortium; Lv, Haitao; Sun, Ling; Falcone, Guido J; Polimanti, Renato; Pathak, Gita A",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/39228734'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,11370495,39228734,2024 Aug 21,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11370495'>Genetics of posttraumatic stress disorder and cardiovascular conditions using Life's Essential 8, Electronic Health Records, and Heart Imaging.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39228734&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11370495/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39228734'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11370495/'>Cited By, Google</a>", ,39228734,2024,,medrxiv,,,,medRxiv,Unknown,,False,False,False,
R21AI129167,"Department of Microbiology-Immunology, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA.",2024,"Lebrun-Corbin, Marine; Cheung, Bettina H; Hullahalli, Karthik; Dailey, Katherine; Bailey, Keith; Waldor, Matthew K; Wunderink, Richard G; Bachta, Kelly E R; Hauser, Alan R",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39229171'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11370369,39229171,2024 Aug 20,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11370369'>Pseudomonas aeruginosa population dynamics in a vancomycin-induced murine model of gastrointestinal carriage.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39229171&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11370369/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39229171'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11370369/'>Cited By, Google</a>", ,39229171,2024,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
R01EY033813,"Department of Biomedical Engineering, Northwestern University, Evanston, IL.",2024,"Fang, Raymond; Zhang, Pengpeng; Kim, Daniel; Kweon, Junghun; Sun, Cheng; Huang, Alex S; Zhang, Hao F",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39386690'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11463524,39386690,2024 Sep 25,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11463524'>Robotic Visible-Light Optical Coherence Tomography Visualizes Segmental Schlemm's Canal Anatomy and Segmental Pilocarpine Response.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39386690&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11463524/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39386690'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11463524/'>Cited By, Google</a>", ,39386690,2024,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
R00AG068544,"Northwestern University Feinberg School of Medicine, Chicago, IL, USA.",2024,"Hosseini, Mohammad; Hong, Spencer; Holmes, Kristi; Wetterstrand, Kris; Donohue, Christopher; Amaral, Luis A Nunes; Stoeger, Thomas",United States,2161-3974,1,<a href='https://pubmed.ncbi.nlm.nih.gov/39552744'>Journal of escience librarianship</a>,J Escience Librariansh,13,eng, ,11566842,39552744,2024 Mar,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11566842'>Ethical considerations in utilizing artificial intelligence for analyzing the NHGRI's History of Genomics and Human Genome Project archives.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39552744&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11566842/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39552744'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11566842/'>Cited By, Google</a>", ,39552744,2024,21613974,j escience librariansh,,,,J Escience Librariansh,Unknown,,False,False,False,
R01AG078796,"Department of Neurology, Northwestern University Feinberg School of Medicine; Chicago, IL USA.",2024,"Rao, Nalini R; DeGulis, Olivia; Nomura, Toshihiro; Lee, SeungEun; Hark, Timothy J; Dynes, Justin C; Dexter, Emily X; Dulewicz, Maciej; Ge, Junyue; Upadhyay, Arun; Fornasiero, Eugenio F; Vassar, Robert; Hanrieder, Jörg; Contractor, Anis; Savas, Jeffrey N",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39554163'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11565754,39554163,2024 Oct 28,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11565754'>Levetiracetam prevents Aβ42 production through SV2a-dependent modulation of App processing in Alzheimer's disease models.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39554163&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11565754/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39554163'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11565754/'>Cited By, Google</a>", ,39554163,2024,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
T32GM149439,"Department of Chemistry, Northwestern University, Evanston, IL 60208.",2024,"Basu, Ananya A; Zhang, Xiaoyu",Switzerland,2813-530X, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40109579'>Frontiers in chemical biology</a>,Front Chem Biol,3,eng, ,11922544,40109579,2024,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11922544'>Quantitative proteomics and applications in covalent ligand discovery.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40109579&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11922544/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40109579'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11922544/'>Cited By, Google</a>", ,40109579,2024,2813530X,front chem biol,,,,Front Chem Biol,Unknown,,False,False,False,
R01DA055502,"Decision and Infrastructure Sciences Division, Argonne National Laboratory, Lemont, IL, USA.",2024,"Collier, Nicholson; Wozniak, Justin M; Fadikar, Arindam; Stevens, Abby; Ozik, Jonathan",United States,0891-7736, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40151210'>Proceedings of the ... Winter Simulation Conference. Winter Simulation Conference</a>,Proc Winter Simul Conf,2024,eng,72-86,11939112,40151210,2024 Dec,DISTRIBUTED MODEL EXPLORATION WITH EMEWS.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40151210&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11939112/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40151210'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11939112/'>Cited By, Google</a>", ,40151210,2024,08917736,proc winter simul conf,,,,Proc Winter Simul Conf,Unknown,,False,False,False,
R21EB030305,"Department of Computer Science, Department of Preventive Medicine, Northwestern University, Evanston, IL, USA.",2024,"Lin, Chenghong; Du, Yuxin; Pendse, Neel; Fernandes, Glenn; Alshurafa, Nabil; Pedram, Mahdi",United States,2376-8886, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40708770'>... International Conference on Wearable and Implantable Body Sensor Networks. International Conference on Wearable and Implantable Body Sensor Networks</a>,Int Conf Wearable Implant Body Sens Netw,2024,eng, ,12288045,40708770,2024 Oct,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12288045'>Self-Sustaining Wearable UV Sensor for Passive and Continuous Sun Protection.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40708770&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12288045/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40708770'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12288045/'>Cited By, Google</a>", ,40708770,2024,23768886,int conf wearable implant body sens netw,,,,Int Conf Wearable Implant Body Sens Netw,Unknown,,False,False,False,
R01DC019434,"Department of Otolaryngology, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States.",2024,"Cury, Joaquin; Rivera, Arnaldo; Schneider, Rebecca; Tan, Ray; Tan, Xiaodong; Richter, Claus-Peter",Switzerland,2813-6055, ,<a href='https://pubmed.ncbi.nlm.nih.gov/40791787'>Frontiers in audiology and otology</a>,Front Audiol Otol,2,eng, ,12338125,40791787,2024,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12338125'>Optical method to preserve residual hearing in patients receiving a cochlear implant.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=40791787&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12338125/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=40791787'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12338125/'>Cited By, Google</a>", ,40791787,2024,28136055,front audiol otol,,,,Front Audiol Otol,Unknown,,False,False,False,
U01DK126045,"UC San Diego School of Medicine, University of California San Diego, La Jolla, California, USA.",2024,"Brubaker, Linda; Nodora, Jesse; Bavendam, Tamara; Connett, John; Claussen, Amy M; Lewis, Cora E; Rudser, Kyle; Sutcliffe, Siobhan; Wyman, Jean F; Miller, Janis M",United States,1545-5815,3,<a href='https://pubmed.ncbi.nlm.nih.gov/35998252'>Accountability in research</a>,Account Res,31,eng,222-240,9975116,35998252,2024 Dec,A policy toolkit for authorship and dissemination policies may benefit NIH research consortia.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35998252&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9975116/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35998252'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9975116/'>Cited By, Google</a>", ,35998252,2024,15455815,account res,,,,Account Res,Unknown,,False,False,False,
R01MH107652,"Department of Population Health Sciences, Spencer Fox Eccles School of Medicine at the University of Utah, Salt Lake City, UT, USA.",2024,"Merle, James L; Carroll, Allison J; Mohanty, Nivedita; Berkel, Cady; Scherr, Courtney; Davis, Matthew M; Wakschlag, Lauren S; Smith, Justin D",England,1741-2889,4,<a href='https://pubmed.ncbi.nlm.nih.gov/36916317'>Journal of child health care : for professionals working with children in the hospital and community</a>,J Child Health Care,28,eng,700-714,10500037,36916317,2024 Dec,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10500037'>Pediatric clinicians' perspectives on assessing concerns about young children's social-emotional wellbeing in primary care.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36916317&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10500037/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36916317'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10500037/'>Cited By, Google</a>",2.5,36916317,2024,17412889,j child health care,,,,J Child Health Care,Unknown,,False,False,False,
T32MH130325,"Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, Chicago, Illinois, USA; email: brian@northwestern.edu.",2024,"Mustanski, Brian; Queiroz, Artur; Merle, James L; Zamantakis, Alithia; Zapata, Juan Pablo; Li, Dennis H; Benbow, Nanette; Pyra, Maria; Smith, Justin D",United States,1545-2085, ,<a href='https://pubmed.ncbi.nlm.nih.gov/37722749'>Annual review of psychology</a>,Annu Rev Psychol,75,eng,55-85,10872355,37722749,2024 Jan 18,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10872355'>A Systematic Review of Implementation Research on Determinants and Strategies of Effective HIV Interventions for Men Who Have Sex with Men in the United States.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37722749&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10872355/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37722749'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10872355/'>Cited By, Google</a>",9.13,37722749,2024,15452085,annu rev psychol,,,,Annu Rev Psychol,Unknown,,False,False,False,
R01MH110524,"School of Social Work, Portland State University School of Social Work, Portland, Oregon (Blajeski); School of Social Work, University of Michigan, Ann Arbor (M. J. Smith, Harrington, Ross, Weaver); United States Army, Nashville (Johnson); Department of Psychiatry, University of Illinois-Chicago, Chicago (Razzano); Thresholds, Chicago (Razzano, Pashka, Brown, Prestipino, Nelson, Lieberman); Department of Psychiatry and Behavioral Sciences, Northwestern University, Chicago (Jordan); Center of Innovation for Complex Chronic Healthcare, Edward Hines Jr. Veterans Affairs Hospital, Hines, Illinois (Jordan); State of Illinois Department of Human Services, Chicago (Oulvey); Center for Psychiatric Rehabilitation, Boston University, Boston (Mueser, McGurk); Department of Psychiatry, Yale School of Medicine, New Haven (Bell); Department of Population Health Sciences, University of Utah Eccles School of Medicine, Salt Lake City (J. D. Smith).",2024,"Blajeski, Shannon; Smith, Matthew J; Harrington, Meghan; Johnson, Jeffery; Ross, Brittany; Weaver, Addie; Razzano, Lisa A; Pashka, Nicole; Brown, Adrienne; Prestipino, John; Nelson, Karley; Lieberman, Tovah; Jordan, Neil; Oulvey, Eugene A; Mueser, Kim T; McGurk, Susan R; Bell, Morris D; Smith, Justin D",United States,1557-9700,3,"<a href='https://pubmed.ncbi.nlm.nih.gov/37644829'>Psychiatric services (Washington, D.C.)</a>",Psychiatr Serv,75,eng,228-236,10902191,37644829,2024 Mar 01,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10902191'>A Mixed-Methods Implementation Evaluation of Virtual Reality Job Interview Training in IPS Supported Employment.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37644829&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10902191/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37644829'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10902191/'>Cited By, Google</a>", ,37644829,2024,15579700,psychiatr serv,,,,Psychiatr Serv,Unknown,,False,False,False,
R01AI147498,"Department of Pharmacology and Nutritional Sciences, University of Kentucky College of Medicine, Lexington, Kentucky, United States.",2024,"Martinez, Genesee J; Appleton, Malik; Kipp, Zachary A; Loria, Analia S; Min, Booki; Hinds Jr, Terry D",United States,1522-1210,1,<a href='https://pubmed.ncbi.nlm.nih.gov/37732829'>Physiological reviews</a>,Physiol Rev,104,eng,473-532,11281820,37732829,2024 Jan 01,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11281820'>Glucocorticoids, their uses, sexual dimorphisms, and diseases: new concepts, mechanisms, and discoveries.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37732829&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11281820/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37732829'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11281820/'>Cited By, Google</a>",10.9,37732829,2024,15221210,physiol rev,,,,Physiol Rev,Unknown,,False,False,False,
R01CA261898,"Department of Pharmacology and Center for Pharmacogenomics, Northwestern University Feinberg School of Medicine, Chicago, Illinois, USA; email: paul.burridge@northwestern.edu.",2024,"Cejas, Romina B; Petrykey, Kateryna; Sapkota, Yadav; Burridge, Paul W",United States,1545-4304, ,<a href='https://pubmed.ncbi.nlm.nih.gov/37788492'>Annual review of pharmacology and toxicology</a>,Annu Rev Pharmacol Toxicol,64,eng,115-134,11260185,37788492,2024 Jan 23,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11260185'>Anthracycline Toxicity: Light at the End of the Tunnel?</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37788492&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11260185/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37788492'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11260185/'>Cited By, Google</a>",3.94,37788492,2024,15454304,annu rev pharmacol toxicol,,,,Annu Rev Pharmacol Toxicol,Unknown,,False,False,False,
