_issn_norm,_journal_label,_publisher,papers,apc_known_share
14338491,Eur Arch Psychiatry Clin Neurosci,Unknown,2,0
14351102,Arch Womens Ment Health,Springer Nature,1,1
14390507,Mycoses,Unknown,1,0
14397633,Chembiochem,Wiley,1,1
1440169X,Dev Growth Differ,Unknown,1,0
14401819,Psychiatry Clin Neurosci,Wiley,1,1
14645491,Diabet Med,Wiley,1,1
14676494,J Pers,Unknown,4,0
14677687,Dev Sci,Wiley,1,1
14678624,Child Dev,Wiley,2,2
14681331,Eur J Neurol,Wiley,1,1
14682869,J Urban Health,Springer Nature,2,2
1469445X,Exp Physiol,Wiley,1,1
14697610,J Child Psychol Psychiatry,Wiley,2,2
14697793,J Physiol,Wiley,7,7
14698749,Dev Med Child Neurol,Wiley,3,3
1469896X,Protein Sci,Wiley,2,2
14698986,Psychophysiology,Wiley,2,2
14710528,BJOG,Wiley,2,2
14714159,J Neurochem,Wiley,2,2
14749726,Aging Cell,Wiley,1,1
14756773,Health Serv Res,Wiley,2,2
14765438,Eur J Hum Genet,Springer Nature,1,1
14765551,Leukemia,Springer Nature,1,1
14765578,Mol Psychiatry,Springer Nature,2,2
14765594,Oncogene,Springer Nature,3,3
14765608,Prostate Cancer Prostatic Dis,Unknown,1,0
14765624,Spinal Cord,Unknown,1,0
15206300,Am J Hum Biol,Wiley,1,1
15206777,Neurourol Urodyn,Wiley,8,8
15211878,Bioessays,Wiley,2,2
15213773,Angew Chem Int Ed Engl,Wiley,1,1
15214036,Biom J,Wiley,2,2
15214095,Adv Mater,Wiley,3,3
15222586,J Magn Reson Imaging,Wiley,2,2
15222594,Magn Reson Med,Wiley,3,3
15251497,J Gen Intern Med,Springer Nature,2,2
15300447,Pediatr Res,Springer Nature,4,4
15306860,FASEB J,Wiley,2,2
15314995,Laryngoscope,Wiley,1,1
15318249,Ann Neurol,Wiley,1,1
15318257,Mov Disord,Wiley,6,6
15321827,Br J Cancer,Springer Nature,1,1
15322149,Eur J Pain,Unknown,1,0
15322998,Stress Health,Wiley,1,1
15325415,J Am Geriatr Soc,Wiley,5,5
15327558,Int J Behav Med,Springer Nature,3,3
15327795,J Res Adolesc,Wiley,1,1
15344681,Ann Surg Oncol,Springer Nature,8,8
15346293,Curr Neurol Neurosci Rep,Springer Nature,2,2
15364801,J Pediatr Gastroenterol Nutr,Wiley,1,1
15372995,Transfusion,Wiley,1,1
15408167,J Cardiovasc Electrophysiol,Wiley,1,1
15422011,J Midwifery Womens Health,Wiley,1,1
15430154,J Cancer Educ,Springer Nature,1,1
15455017,Pediatr Blood Cancer,Wiley,3,3
15455300,Fam Process,Wiley,1,1
15483576,Curr HIV/AIDS Rep,Springer Nature,2,2
15516709,Cogn Sci,Unknown,1,0
1552146X,Hastings Cent Rep,Unknown,1,0
15525279,Alzheimers Dement,Wiley,26,26
15532712,Acad Emerg Med,Wiley,2,2
15543528,Behav Res Methods,Springer Nature,1,1
15570657,Int J Methods Psychiatr Res,Wiley,1,1
15571920,J Immigr Minor Health,Springer Nature,1,1
15590089,Neuroinformatics,Springer Nature,2,2
15728595,J Interv Card Electrophysiol,Unknown,1,0
15732649,Qual Life Res,Springer Nature,3,3
15732800,Arch Sex Behav,Springer Nature,3,3
15732827,Clin Child Fam Psychol Rev,Unknown,1,0
15733254,AIDS Behav,Springer Nature,12,12
15733289,Adm Policy Ment Health,Springer Nature,1,1
15733432,J Autism Dev Disord,Springer Nature,3,3
15733521,J Behav Med,Springer Nature,4,4
15733610,J Community Health,Springer Nature,1,1
15733890,Metabolomics,Springer Nature,2,2
15736571,J Relig Health,Unknown,1,0
15736695,Prev Sci,Springer Nature,4,4
15736792,Brain Topogr,Unknown,1,0
15737217,Breast Cancer Res Treat,Springer Nature,3,3
15737225,Cancer Causes Control,Springer Nature,2,2
15737241,Cardiovasc Drugs Ther,Unknown,1,0
15737373,J Neurooncol,Springer Nature,1,1
1573742X,J Thromb Thrombolysis,Unknown,1,0
15739686,Ann Biomed Eng,Springer Nature,1,1
1600065X,Immunol Rev,Wiley,4,4
16000897,Am J Reprod Immunol,Wiley,3,3
16134133,Mol Nutr Food Res,Unknown,1,0
16136829,Small,Wiley,1,1
1740634X,Neuropsychopharmacology,Springer Nature,1,1
17408709,Matern Child Nutr,Unknown,1,0
17424658,FEBS J,Wiley,1,1
1742481X,Int Wound J,Unknown,1,0
1743498X,Clin Teach,Unknown,1,0
17461561,J Sch Health,Wiley,1,1
17480361,J Rural Health,Wiley,2,2
17496632,Ann N Y Acad Sci,Wiley,2,2
17528062,Clin Transl Sci,Wiley,3,3
17550998,Mol Ecol Resour,Wiley,1,1
1755148X,Pigment Cell Melanoma Res,Wiley,1,1
17582652,J Int AIDS Soc,Wiley,1,1
17591961,Clin Exp Neuroimmunol,Unknown,1,0
18366716,Monash Bioeth Rev,Unknown,1,0
18610692,Clin Res Cardiol,Unknown,1,0
18694098,Cardiovasc Eng Technol,Unknown,1,0
18733468,FEBS Lett,Wiley,1,1
18758312,Int J Cardiovasc Imaging,Unknown,1,0
18790844,Eur J Heart Fail,Wiley,1,1
1930739X,Obesity (Silver Spring),Wiley,2,2
19322267,J Cancer Surviv,Springer Nature,3,3
19341563,PM R,Wiley,5,5
19393806,Autism Res,Wiley,2,2
20013078,J Extracell Vesicles,Wiley,2,2
20420226,Cell Mol Immunol,Springer Nature,1,1
20457634,Cancer Med,Wiley,1,1
20476310,Pediatr Obes,Wiley,1,1
20479980,J Am Heart Assoc,Wolters Kluwer,9,9
2051817X,Physiol Rep,Wiley,1,1
20555822,ESC Heart Fail,Wiley,1,1
20592310,HLA,Unknown,1,0
21514658,Arthritis Care Res (Hoboken),Wiley,3,3
21922659,Adv Healthc Mater,Wiley,2,2
21963061,Curr Treat Options Psychiatry,Unknown,2,0
21968837,J Racial Ethn Health Disparities,Springer Nature,4,4
21983844,Adv Sci (Weinh),Wiley,5,5
23289503,Ann Clin Transl Neurol,Wiley,1,1
23528729,Alzheimers Dement (Amst),Wiley,2,2
23528737,Alzheimers Dement (N Y),Wiley,3,3
2365709X,Adv Mater Technol,Wiley,1,1
23660058,Abdom Radiol (NY),Springer Nature,1,1
23669608,Small Methods,Wiley,1,1
23796146,Learn Health Syst,Wiley,2,2
25092723,Geroscience,Springer Nature,7,7
25785745,ACR Open Rheumatol,Wiley,2,2
26404567,Adv Intell Syst,Wiley,1,1
26438909,Aging Cancer,Unknown,1,0
26929384,JCPP Adv,Wiley,1,1
27307174,Res Child Adolesc Psychopathol,Springer Nature,1,1
27315541,J Prev (2022),Unknown,1,0
29937175,Alcohol Clin Exp Res (Hoboken),Wiley,1,1
