S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
27,10338,Acta Mechanica Solida Sinica,1860-2134,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/10338
28,40195,Acta Metallurgica Sinica (English Letters),2194-1289,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40195
29,13760,Acta Neurologica Belgica,2240-2993,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13760
30,401,Acta Neuropathologica,1432-0533,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/401
31,13131,Acta Oceanologica Sinica,1869-1099,"The Chinese Society of Oceanography, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/13131
32,11686,Acta Parasitologica,1896-1851,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/11686
33,41401,Acta Pharmacologica Sinica,1745-7254,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41401
34,11738,Acta Physiologiae Plantarum,1861-1664,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11738
35,41269,Acta Politica,1741-1416,Palgrave Macmillan,Political Science and International Relations,Springer Hybrid,CC BY,https://springer.com/41269
36,44146,Acta Scientiarum Mathematicarum,2064-8316,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/44146
37,44428,"Acta Universitatis Sapientiae, Film and Media Studies",2066-7779,Springer,Cultural and Media Studies,Springer Hybrid,CC BY,https://springer.com/44428
38,44427,"Acta Universitatis Sapientiae, Informatica",2066-7760,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/44427
39,44426,"Acta Universitatis Sapientiae, Mathematica",2066-7752,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/44426
40,40750,Adaptive Human Behavior and Physiology,2198-7335,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/40750
41,10488,Administration and Policy in Mental Health and Mental Health Services Research,1573-3289,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10488
42,40894,Adolescent Research Review,2363-8354,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/40894
43,10450,Adsorption,1572-8757,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10450
44,42765,Advanced Fiber Materials,2524-793X,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/42765
45,6,Advances in Applied Clifford Algebras,1661-4909,Birkhäuser,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/6
46,42423,Advances in Astronautics,3059-2976,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42423
47,376,Advances in Atmospheric Sciences,1861-9533,"Science Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/376
48,43674,Advances in Computational Intelligence,2730-7808,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/43674
49,10444,Advances in Computational Mathematics,1572-9044,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10444
50,11634,Advances in Data Analysis and Classification,1862-5355,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/11634
51,10459,Advances in Health Sciences Education,1573-1677,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10459
52,40436,Advances in Manufacturing,2195-3597,"Shanghai University, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/40436
53,41252,Advances in Neurodevelopmental Disorders,2366-7540,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/41252
54,43036,Advances in Operator Theory,2538-225X,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/43036
55,12325,Advances in Therapy,1865-8652,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/12325
56,13596,Advances in Traditional Medicine,2662-4060,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13596
57,42844,Adversity and Resilience Science,2662-2416,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/42844
58,10,Aequationes Mathematicae,1420-8903,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10
59,10453,Aerobiologia,1573-3025,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10453
60,41810,Aerosol Science and Engineering,2510-3768,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/41810
61,42401,Aerospace Systems,2523-3955,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42401
62,42496,Aerotecnica Missili & Spazio,2524-6968,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42496
63,266,Aesthetic Plastic Surgery,1432-5241,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/266
64,42761,Affective Science,2662-205X,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/42761
65,10437,African Archaeological Review,1572-9842,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10437
66,13370,Afrika Matematika,2190-7668,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/13370
67,12126,Ageing International,1936-606X,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12126
68,40003,Agricultural Research,2249-7218,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/40003
69,10460,Agriculture and Human Values,1572-8366,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10460
70,10457,Agroforestry Systems,1572-9680,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10457
71,13593,Agronomy for Sustainable Development,1773-0155,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13593
72,146,AI & SOCIETY,1435-5655,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/146
73,43681,AI and Ethics,2730-5961,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/43681
74,10461,AIDS and Behavior,1573-3254,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10461
75,11869,"Air Quality, Atmosphere & Health",1873-9326,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/11869
76,10469,Algebra and Logic,1573-8302,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10469
77,12,Algebra Universalis,1420-8911,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/12
78,10468,Algebras and Representation Theory,1572-9079,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10468
79,453,Algorithmica,1432-0541,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/453
80,40629,Allergo Journal International,2197-0378,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40629
81,35,Alpine Botany,1664-221X,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/35
82,13280,Ambio,1654-7209,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/13280
83,40256,American Journal of Cardiovascular Drugs,1179-187X,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/40256
84,40257,American Journal of Clinical Dermatology,1179-1888,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/40257
85,12103,American Journal of Criminal Justice,1936-1351,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY,https://springer.com/12103
86,41290,American Journal of Cultural Sociology,2049-7121,Palgrave Macmillan,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41290
87,10465,American Journal of Dance Therapy,1573-3262,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/10465
88,12230,American Journal of Potato Research,1874-9380,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12230
89,13162,AMS Review,1869-8182,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/13162
90,10470,Analog Integrated Circuits and Signal Processing,1573-1979,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10470
91,13324,Analysis and Mathematical Physics,1664-235X,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/13324
92,10476,Analysis Mathematica,1588-273X,"Akadémiai Kiadó, co-published with Springer",Mathematics,Springer Hybrid,CC BY,https://springer.com/10476
93,216,Analytical and Bioanalytical Chemistry,1618-2650,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/216
94,44211,Analytical Sciences,1348-2246,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/44211
95,44179,Anästhesie Nachrichten,2731-3972,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/44179
96,12565,Anatomical Science International,1447-073X,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12565
97,10456,Angiogenesis,1573-7209,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10456
98,23,Annales Henri Poincaré,1424-0661,Birkhäuser,Physics,Springer Hybrid,CC BY,https://springer.com/23
99,40316,Annales mathématiques du Québec,2195-4763,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40316
100,11565,ANNALI DELL'UNIVERSITA' DI FERRARA,1827-1510,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/11565
101,10231,Annali di Matematica Pura ed Applicata (1923 -),1618-1891,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10231
102,10439,Annals of Biomedical Engineering,1573-9686,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/10439
103,26,Annals of Combinatorics,0219-3094,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/26
104,40745,Annals of Data Science,2198-5812,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/40745
105,11881,Annals of Dyslexia,1934-7243,Springer,Linguistics,Springer Hybrid,CC BY,https://springer.com/11881
106,10436,Annals of Finance,1614-2454,Springer,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/10436
107,43034,Annals of Functional Analysis,2008-8752,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/43034
108,10455,Annals of Global Analysis and Geometry,1572-9060,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10455
109,10472,Annals of Mathematics and Artificial Intelligence,1573-7470,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10472
110,12149,Annals of Nuclear Medicine,1864-6433,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12149
111,10479,Annals of Operations Research,1572-9338,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10479
112,40818,Annals of PDE,2199-2576,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/40818
113,10434,Annals of Surgical Oncology,1534-4681,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10434
114,12243,Annals of Telecommunications,1958-9395,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/12243
115,44177,Anthropocene Science,2731-3980,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/44177
116,10482,Antonie van Leeuwenhoek,1572-9699,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10482
117,13592,Apidologie,1297-9678,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13592
118,10495,Apoptosis,1573-675X,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10495
119,200,"Applicable Algebra in Engineering, Communication and Computing",1432-0622,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/200
120,10492,Applications of Mathematics,1572-9109,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10492
121,12010,Applied Biochemistry and Biotechnology,1559-0291,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/12010
122,10485,Applied Categorical Structures,1572-9095,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10485
123,10443,Applied Composite Materials,1573-4897,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10443
124,13355,Applied Entomology and Zoology,1347-605X,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13355
125,10341,Applied Fruit Science,2948-2631,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10341
126,12518,Applied Geomatics,1866-928X,Springer,Geography,Springer Hybrid,CC BY,https://springer.com/12518
127,11770,Applied Geophysics,1993-0658,"Chinese Geophysical Society, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11770
128,40258,Applied Health Economics and Health Policy,1179-1896,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/40258
129,10489,Applied Intelligence,1573-7497,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10489
130,723,Applied Magnetic Resonance,1613-7507,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/723
131,245,Applied Mathematics & Optimization,1432-0606,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/245
132,10483,Applied Mathematics and Mechanics,1573-2754,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10483
133,11766,Applied Mathematics-A Journal of Chinese Universities,1993-0445,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/11766
134,13204,Applied Nanoscience,2190-5517,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/13204
135,339,Applied Physics A,1432-0630,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/339
136,340,Applied Physics B,1432-0649,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/340
137,10484,Applied Psychophysiology and Biofeedback,1573-3270,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10484
138,11482,Applied Research in Quality of Life,1871-2576,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/11482
139,12061,Applied Spatial Analysis and Policy,1874-4621,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12061
140,10499,Aquaculture International,1573-143X,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10499
141,10452,Aquatic Ecology,1573-5125,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10452
142,10498,Aquatic Geochemistry,1573-1421,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10498
143,27,Aquatic Sciences,1420-9055,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/27
144,13369,Arabian Journal for Science and Engineering,2191-4281,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/13369
145,12517,Arabian Journal of Geosciences,1866-7538,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/12517
146,40065,Arabian Journal of Mathematics,2193-5351,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40065
147,12520,Archaeological and Anthropological Sciences,1866-9565,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12520
148,11759,Archaeologies,1935-3987,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/11759
149,44150,"Architecture, Structures and Construction",2730-9894,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/44150
150,13,Archiv der Mathematik,1420-8938,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/13
151,10502,Archival Science,1573-7500,Springer,Cultural and Media Studies,Springer Hybrid,CC BY-NC-ND,https://springer.com/10502
152,407,Archive for History of Exact Sciences,1432-0657,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/407
153,153,Archive for Mathematical Logic,1432-0665,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/153
154,205,Archive for Rational Mechanics and Analysis,1432-0673,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/205
155,419,Archive of Applied Mechanics,1432-0681,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/419
156,43452,Archives of Civil and Mechanical Engineering,2083-3318,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/43452
157,11831,Archives of Computational Methods in Engineering,1886-1784,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/11831
158,403,Archives of Dermatological Research,1432-069X,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/403
159,244,Archives of Environmental Contamination and Toxicology,1432-0703,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/244
160,203,Archives of Microbiology,1432-072X,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/203
161,402,Archives of Orthopaedic and Trauma Surgery,1434-3916,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/402
162,11657,Archives of Osteoporosis,1862-3514,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11657
163,12272,Archives of Pharmacal Research,1976-3786,"Pharmaceutical Society of Korea, co-published with Springer",Pharmacy,Springer Hybrid,CC BY,https://springer.com/12272
164,10508,Archives of Sexual Behavior,1573-2800,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10508
165,204,Archives of Toxicology,1432-0738,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/204
166,705,Archives of Virology,1432-8798,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/705
167,737,Archives of Women's Mental Health,1435-1102,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/737
168,10503,Argumentation,1572-8374,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10503
169,11829,Arthropod-Plant Interactions,1872-8847,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11829
170,142,Arthroskopie,1434-3924,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/142
171,10506,Artificial Intelligence and Law,1572-8382,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10506
172,10015,Artificial Life and Robotics,1614-7456,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/10015
173,10308,Asia Europe Journal,1612-1031,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10308
174,12564,Asia Pacific Education Review,1876-407X,Springer,Education,Springer Hybrid,CC BY,https://springer.com/12564
175,10490,Asia Pacific Journal of Management,1572-9958,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10490
176,41826,asian archaeology,2520-8101,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/41826
177,41649,Asian Bioethics Review,1793-9453,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/41649
178,41291,Asian Business & Management,1476-9328,Palgrave Macmillan,Business and Management,Springer Hybrid,CC BY,https://springer.com/41291
179,13520,Asian Journal of Business Ethics,2210-6731,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/13520
180,42107,Asian Journal of Civil Engineering,2522-011X,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42107
181,11417,Asian Journal of Criminology,1871-014X,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY-NC-ND,https://springer.com/11417
182,44204,Asian Journal of Philosophy,2731-4642,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/44204
183,10690,Asia-Pacific Financial Markets,1573-6946,Springer,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/10690
184,13143,Asia-Pacific Journal of Atmospheric Sciences,1976-7951,"Korean Meteorological Society, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/13143
185,41685,Asia-Pacific Journal of Regional Science,2509-7954,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/41685
186,10182,AStA Advances in Statistical Analysis,1863-818X,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/10182
187,11943,AStA Wirtschafts- und Sozialstatistisches Archiv,1863-8163,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/11943
188,42064,astrodynamics,2522-0098,"Tsinghua University Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/42064
189,10509,Astrophysics and Space Science,1572-946X,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10509
190,11293,Atlantic Economic Journal,1573-9678,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/11293
191,13414,"Attention, Perception, & Psychophysics",1943-393X,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/13414
192,41133,Augmented Human Research,2365-4325,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/41133
193,13313,Australasian Plant Pathology,1448-6032,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13313
194,10515,Automated Software Engineering,1573-7535,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10515
195,42154,Automotive Innovation,2522-8765,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42154
196,10458,Autonomous Agents and Multi-Agent Systems,1573-7454,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10458
197,10514,Autonomous Robots,1573-7527,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10514
198,43037,Banach Journal of Mathematical Analysis,1735-8787,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/43037
199,395,Basic Research in Cardiology,1435-1803,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/395
200,40617,Behavior Analysis in Practice,2196-8934,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/40617
201,42822,Behavior and Social Issues,2376-6786,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/42822
202,10519,Behavior Genetics,1573-3297,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10519
203,13428,Behavior Research Methods,1554-3528,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/13428
204,265,Behavioral Ecology and Sociobiology,1432-0762,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/265
205,41237,Behaviormetrika,1349-6964,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/41237
206,13366,Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry,2191-0383,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/13366
207,11609,Berliner Journal für Soziologie,1862-2593,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11609
208,501,BHM Berg- und Hüttenmännische Monatshefte,1613-7531,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/501
209,10528,Biochemical Genetics,1573-4927,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10528
210,13206,BioChip Journal,2092-7843,"The Korean BioChip Society (KBCS), co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/13206
211,10526,BioControl,1573-8248,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10526
212,10532,Biodegradation,1572-9729,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10532
213,42242,Bio-Design and Manufacturing,2522-8552,"Zhejiang University Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/42242
214,10531,Biodiversity and Conservation,1572-9710,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10531
215,40259,BioDrugs,1179-190X,Adis,Biomedicine,Springer Hybrid,CC BY-NC,https://springer.com/40259
216,12155,BioEnergy Research,1939-1242,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12155
217,10522,Biogerontology,1573-6768,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10522
218,11756,Biologia,1336-9563,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11756
219,42977,Biologia Futura,2676-8607,"Akadémiai Kiadó, co-published with Springer",Life Sciences,Springer Hybrid,CC BY,https://springer.com/42977
220,422,Biological Cybernetics,1432-0770,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/422
221,10530,Biological Invasions,1573-1464,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10530
222,13752,Biological Theory,1555-5550,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/13752
223,12011,Biological Trace Element Research,1559-0720,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12011
224,10539,Biology & Philosophy,1572-8404,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10539
