Journal Title,Online ISSN,Type
Asian Journal of Social Psychology,1467839X,Hybrid
Asian Politics & Policy,19430787,Hybrid
Asian Social Work and Policy Review,17531411,Hybrid
Asian-Pacific Economic Literature,14678411,Hybrid
Asia-Pacific Economic History Review,2832157X,Hybrid
Asia-Pacific Journal of Chemical Engineering,19322143,Hybrid
Asia-Pacific Journal of Clinical Oncology,17437563,Hybrid
Asia-Pacific Journal of Financial Studies,20416156,Hybrid
Asia-Pacific Psychiatry,17585872,Hybrid
Astronomische Nachrichten,15213994,Hybrid
Austral Ecology,14429993,Hybrid
Austral Entomology,20521758,Hybrid
Australasian Journal of Dermatology,14400960,Hybrid
Australasian Journal of Ultrasound in Medicine,22050140,Hybrid
Australasian Journal on Ageing,17416612,Hybrid
Australian & New Zealand Journal of Statistics,1467842X,Hybrid
Australian Accounting Review,18352561,Hybrid
Australian and New Zealand Journal of Family Therapy,14678438,Hybrid
Australian and New Zealand Journal of Obstetrics and Gynaecology,1479828X,Hybrid
Australian Dental Journal,18347819,Hybrid
Australian Economic Papers,14678454,Hybrid
Australian Endodontic Journal,17474477,Hybrid
Australian Journal of Politics and History,14678497,Hybrid
Australian Journal of Public Administration,14678500,Hybrid
Australian Journal of Rural Health,14401584,Hybrid
Australian Journal of Social Issues,18394655,Hybrid
Australian Occupational Therapy Journal,14401630,Hybrid
Australian Veterinary Journal,17510813,Hybrid
Autism Research,19393806,Hybrid
AWWA Water Science,25778161,Hybrid
Basic & Clinical Pharmacology & Toxicology,17427843,Hybrid
Basin Research,13652117,Hybrid
Batteries & Supercaps,25666223,Hybrid
Behavioral Interventions,1099078X,Hybrid
Behavioral Sciences & the Law,10990798,Hybrid
Berichte zur Wissenschaftsgeschichte,15222365,Hybrid
Biochemistry and Molecular Biology Education,15393429,Hybrid
Bioelectromagnetics,1521186X,Hybrid
BioEssays,15211878,Hybrid
Bioethics,14678519,Hybrid
BioFactors,18728081,Hybrid
"Biofuels, Bioproducts and Biorefining",19321031,Hybrid
Biological Reviews,1469185X,Hybrid
Biology of the Cell,1768322X,Hybrid
Biomedical Chromatography,10990801,Hybrid
Biometrical Journal,15214036,Hybrid
Biopharmaceutics & Drug Disposition,1099081X,Hybrid
Biopolymers,10970282,Hybrid
Biotechnology and Applied Biochemistry,14708744,Hybrid
Biotechnology and Bioengineering,10970290,Hybrid
Biotechnology Journal,18607314,Hybrid
Biotechnology Progress,15206033,Hybrid
Biotropica,17447429,Hybrid
Bipolar Disorders,13995618,Hybrid
Birth,1523536X,Hybrid
Birth Defects Research,24721727,Hybrid
BJOG: An International Journal of Obstetrics and Gynaecology,14710528,Hybrid
BJU International,1464410X,Hybrid
British Educational Research Journal,14693518,Hybrid
British Journal of Clinical Pharmacology,13652125,Hybrid
British Journal of Clinical Psychology,20448260,Hybrid
British Journal of Developmental Psychology,2044835X,Hybrid
British Journal of Educational Psychology,20448279,Hybrid
British Journal of Educational Technology,14678535,Hybrid
British Journal of Haematology,13652141,Hybrid
British Journal of Health Psychology,20448287,Hybrid
British Journal of Industrial Relations,14678543,Hybrid
British Journal of Learning Disabilities,14683156,Hybrid
British Journal of Management,14678551,Hybrid
British Journal of Mathematical and Statistical Psychology,20448317,Hybrid
British Journal of Pharmacology,14765381,Hybrid
British Journal of Psychology,20448295,Hybrid
British Journal of Psychotherapy,17520118,Hybrid
British Journal of Social Psychology,20448309,Hybrid
British Journal of Special Education,14678578,Hybrid
Bulletin of Economic Research,14678586,Hybrid
Bulletin of Latin American Research,14709856,Hybrid
Bulletin of the Korean Chemical Society,12295949,Hybrid
Bulletin of the London Mathematical Society,14692120,Hybrid
Business and Society Review,14678594,Hybrid
"Business Ethics, the Environment & Responsibility",26946424,Hybrid
Business Strategy and Development,25723170,Hybrid
Business Strategy and the Environment,10990836,Hybrid
Canadian Geographies / Les géographies canadiennes,15410064,Hybrid
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration,19364490,Hybrid
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,17447976,Hybrid
Canadian Journal of Economics/Revue canadienne d'économique,15405982,Hybrid
Canadian Public Administration,17547121,Hybrid
Canadian Review of Sociology/Revue canadienne de sociologie,1755618X,Hybrid
Cancer,10970142,Hybrid
Cancer Cytopathology,19346638,Hybrid
Catheterization and Cardiovascular Interventions,1522726X,Hybrid
ce/papers,25097075,Hybrid
Cell Biochemistry and Function,10990844,Hybrid
Cell Biology International,10958355,Hybrid
Cereal Chemistry,19433638,Hybrid
ChemBioChem,14397633,Hybrid
ChemBioEng Reviews,21969744,Hybrid
ChemCatChem,18673899,Hybrid
Chemical Biology & Drug Design,17470285,Hybrid
Chemical Engineering & Technology,15214125,Hybrid
Chemie Ingenieur Technik,15222640,Hybrid
Chemistry - A European Journal,15213765,Hybrid
Chemistry - An Asian Journal,1861471X,Hybrid
Chemistry & Biodiversity,16121880,Hybrid
ChemistrySelect,23656549,Hybrid
ChemKon,15213730,Hybrid
ChemMedChem,18607187,Hybrid
CHEMNANOMAT,2199692X,Hybrid
ChemPhotoChem,23670932,Hybrid
ChemPhysChem,14397641,Hybrid
ChemPlusChem,21926506,Hybrid
ChemSusChem,1864564X,Hybrid
ChemSystemsChem,25704206,Hybrid
Child & Family Social Work,13652206,Hybrid
Child Abuse Review,10990852,Hybrid
Child and Adolescent Mental Health,14753588,Hybrid
Child Development,14678624,Hybrid
Child Development Perspectives,17508606,Hybrid
"Child: Care, Health and Development",13652214,Hybrid
Children & Society,10990860,Hybrid
China & World Economy,1749124X,Hybrid
Chinese Journal of Chemistry,16147065,Hybrid
Chirality,1520636X,Hybrid
City & Society,1548744X,Hybrid
Civil Engineering Design,2625073X,Hybrid
Cladistics,10960031,Hybrid
"CLEAN - Soil, Air, Water",18630669,Hybrid
Clinical & Experimental Allergy,13652222,Hybrid
Clinical & Experimental Ophthalmology,14429071,Hybrid
Clinical Advances in Periodontics,21630097,Hybrid
Clinical Anatomy,10982353,Hybrid
Clinical and Experimental Neuroimmunology,17591961,Hybrid
Clinical and Experimental Pharmacology and Physiology,14401681,Hybrid
Clinical Endocrinology,13652265,Hybrid
Clinical Genetics,13990004,Hybrid
Clinical Implant Dentistry and Related Research,17088208,Hybrid
Clinical Obesity,17588111,Hybrid
Clinical Oral Implants Research,16000501,Hybrid
Clinical Otolaryngology,17494486,Hybrid
Clinical Pharmacology & Therapeutics,15326535,Hybrid
Clinical Pharmacology in Drug Development,21607648,Hybrid
Clinical Physiology and Functional Imaging,1475097X,Hybrid
Clinical Psychology & Psychotherapy,10990879,Hybrid
Clinical Transplantation,13990012,Hybrid
Cochrane Library* (Not eligible for APC coverage through a Transitional Deal),14651858,Hybrid
Cognitive Science,15516709,Hybrid
Color Research and Application,15206378,Hybrid
Coloration Technology,14784408,Hybrid
Colorectal Disease,14631318,Hybrid
Communications on Pure and Applied Mathematics,10970312,Hybrid
Community Dentistry and Oral Epidemiology,16000528,Hybrid
Comprehensive Reviews in Food Science and Food Safety,15414337,Hybrid
Computational Intelligence,14678640,Hybrid
Computer Animation and Virtual Worlds,1546427X,Hybrid
Computer Applications In Engineering Education,10990542,Hybrid
Computer Graphics Forum,14678659,Hybrid
Computer-Aided Civil and Infrastructure Engineering,14678667,Hybrid
Concurrency and Computation: Practice and Experience,15320634,Hybrid
Conflict Resolution Quarterly,15411508,Hybrid
Congenital Anomalies,17414520,Hybrid
Conservation Biology,15231739,Hybrid
Constellations,14678675,Hybrid
Consumer Psychology Review,24761281,Hybrid
Contact Dermatitis,16000536,Hybrid
Contemporary Accounting Research,19113846,Hybrid
Contemporary Economic Policy,14657287,Hybrid
Contributions to Plasma Physics,15213986,Hybrid
Corporate Governance: An International Review,14678683,Hybrid
Corporate Social Responsibility and Environmental Management,15353966,Hybrid
Counselling and Psychotherapy Research,17461405,Hybrid
Counselor Education and Supervision,15566978,Hybrid
Creativity and Innovation Management,14678691,Hybrid
Criminal Behaviour and Mental Health,14712857,Hybrid
Criminology,17459125,Hybrid
Criminology & Public Policy,17459133,Hybrid
Critical Quarterly,14678705,Hybrid
Crop Science,14350653,Hybrid
"Crop, Forage & Turfgrass Management",23743832,Hybrid
Crystal Research and Technology,15214079,Hybrid
"Culture, Agriculture, Food and Environment",21539561,Hybrid
Curator: The Museum Journal,21516952,Hybrid
Current Protocols,26911299,Hybrid
Curtis's Botanical Magazine,14678748,Hybrid
Cytometry Part A,15524930,Hybrid
Cytometry Part B: Clinical Cytometry,15524957,Hybrid
Cytopathology,13652303,Hybrid
Cytoskeleton,19493592,Hybrid
Decision Sciences,15405915,Hybrid
Decision Sciences Journal of Innovative Education,15404609,Hybrid
Dental Traumatology,16009657,Hybrid
Dermatological Reviews,26377489,Hybrid
Developing World Bioethics,14718847,Hybrid
Development and Change,14677660,Hybrid
Development Policy Review,14677679,Hybrid
"Development, Growth & Differentiation",1440169X,Hybrid
Developmental Dynamics,10970177,Hybrid
Developmental Medicine & Child Neurology,14698749,Hybrid
Developmental Neurobiology,1932846X,Hybrid
Developmental Psychobiology,10982302,Hybrid
Developmental Science,14677687,Hybrid
"Diabetes, Obesity and Metabolism",14631326,Hybrid
Diabetes/Metabolism Research and Reviews,15207560,Hybrid
Diabetic Medicine,14645491,Hybrid
Diagnostic Cytopathology,10970339,Hybrid
Dialog,15406385,Hybrid
Die Unterrichtspraxis/Teaching German,17561221,Hybrid
Digest of Middle East Studies,19493606,Hybrid
Digestive Endoscopy,14431661,Hybrid
Disasters,14677717,Hybrid
Drug and Alcohol Review,14653362,Hybrid
Drug Development Research,10982299,Hybrid
Drug Testing and Analysis,19427611,Hybrid
Dyslexia,10990909,Hybrid
Early Intervention in Psychiatry,17517893,Hybrid
Early Medieval Europe,14680254,Hybrid
Earth Surface Processes and Landforms,10969837,Hybrid
Earthquake Engineering & Structural Dynamics,10969845,Hybrid
Earthquake Engineering and Resilience,27705706,Hybrid
Echocardiography,15408175,Hybrid
Ecohydrology,19360592,Hybrid
Ecological Applications,19395582,Hybrid
Ecological Entomology,13652311,Hybrid
Ecological Management & Restoration,14428903,Hybrid
Ecological Monographs,15577015,Hybrid
Ecological Research,14401703,Hybrid
Ecology,19399170,Hybrid
Ecology Letters,14610248,Hybrid
Ecology of Freshwater Fish,16000633,Hybrid
Econometrica,14680262,Hybrid
Economic Affairs,14680270,Hybrid
Economic Anthropology,23304847,Hybrid
Economic Inquiry,14657295,Hybrid
Economic Notes,14680300,Hybrid
Economic Papers; A journal of applied economics and policy,17593441,Hybrid
Economic Record,14754932,Hybrid
Economica,14680335,Hybrid
Economics & Politics,14680343,Hybrid
Economics of Transition and Institutional Change,25776983,Hybrid
Educational Measurement: Issues and Practice,17453992,Hybrid
Educational Theory,17415446,Hybrid
Electrical Engineering in Japan,15206416,Hybrid
Electroanalysis,15214109,Hybrid
Electronics and Communications in Japan,19429541,Hybrid
ELECTROPHORESIS,15222683,Hybrid
Emergency Medicine Australasia,17426723,Hybrid
Energy Storage,25784862,Hybrid
Energy Technology,21944296,Hybrid
Entomologia Experimentalis et Applicata,15707458,Hybrid
Entomological Research,17485967,Hybrid
Entomological Science,14798298,Hybrid
Environmental and Molecular Mutagenesis,10982280,Hybrid
Environmental Microbiology,14622920,Hybrid
Environmental Policy and Governance,17569338,Hybrid
Environmental Progress & Sustainable Energy,19447450,Hybrid
Environmental Quality Management,15206483,Hybrid
Environmental Toxicology,15227278,Hybrid
Environmetrics,1099095X,Hybrid
Epilepsia,15281167,Hybrid
Epileptic Disorders,19506945,Hybrid
EPPO Bulletin,13652338,Hybrid
Equine Veterinary Education,20423292,Hybrid
Equine Veterinary Journal,20423306,Hybrid
Ethics & Human Research,25782363,Hybrid
Ethology,14390310,Hybrid
Ethos,15481352,Hybrid
EuroChoices,1746692X,Hybrid
European Eating Disorders Review,10990968,Hybrid
European Financial Management,1468036X,Hybrid
European Journal of Clinical Investigation,13652362,Hybrid
European Journal of Dental Education,16000579,Hybrid
European Journal of Education,14653435,Hybrid
European Journal of Haematology,16000609,Hybrid
European Journal of Heart Failure,18790844,Hybrid
European Journal of Immunology,15214141,Hybrid
European Journal of Inorganic Chemistry,10990682,Hybrid
European Journal of Lipid Science and Technology,14389312,Hybrid
European Journal of Neuroscience,14609568,Hybrid
European Journal of Oral Sciences,16000722,Hybrid
European Journal of Organic Chemistry,10990690,Hybrid
European Journal of Pain,15322149,Hybrid
European Journal of Philosophy,14680378,Hybrid
European Journal of Political Research,14756765,Hybrid
European Journal of Political Research Political Data Yearbook,20478852,Hybrid
European Journal of Social Psychology,10990992,Hybrid
European Journal of Soil Science,13652389,Hybrid
European Law Journal,14680386,Hybrid
European Management Review,17404762,Hybrid
European Policy Analysis,23806567,Hybrid
Evolution & Development,1525142X,Hybrid
Evolutionary Anthropology,15206505,Hybrid
Experimental Dermatology,16000625,Hybrid
Expert Systems,14680394,Hybrid
Family & Consumer Sciences Research Journal,15523934,Hybrid
Family Court Review,17441617,Hybrid
Family Process,15455300,Hybrid
Family Relations,17413729,Hybrid
Fatigue & Fracture of Engineering Materials & Structures,14602695,Hybrid
FEBS Letters,18733468,Hybrid
Feddes Repertorium,1522239X,Hybrid
Feminist Anthropology,26437961,Hybrid
Financial Accountability & Management,14680408,Hybrid
Financial Management,1755053X,Hybrid
"Financial Markets, Institutions & Instruments",14680416,Hybrid
Fire and Materials,10991018,Hybrid
Fiscal Studies,14755890,Hybrid
Fish and Fisheries,14672979,Hybrid
Fisheries Management and Ecology,13652400,Hybrid
Fisheries Oceanography,13652419,Hybrid
Flavour and Fragrance Journal,10991026,Hybrid
Foreign Language Annals,19449720,Hybrid
Forest Pathology,14390329,Hybrid
Fortschritte der Physik,15213978,Hybrid
Freshwater Biology,13652427,Hybrid
Frontiers in Ecology and the Environment,15409309,Hybrid
Fuel Cells,16156854,Hybrid
Fundamental & Clinical Pharmacology,14728206,Hybrid
Futures & Foresight Science,25735152,Hybrid
GAMM - Mitteilungen,15222608,Hybrid
Gender & History,14680424,Hybrid
"Gender, Work & Organization",14680432,Hybrid
General Anthropology,19393466,Hybrid
Genes to Cells,13652443,Hybrid
"Genes, Chromosomes and Cancer",10982264,Hybrid
genesis,1526968X,Hybrid
Genetic Epidemiology,10982272,Hybrid
Geoarchaeology,15206548,Hybrid
Geobiology,14724669,Hybrid
Geographical Analysis,15384632,Hybrid
Geographical Research,17455871,Hybrid
Geography Compass,17498198,Hybrid
Geological Journal,10991034,Hybrid
Geology Today,13652451,Hybrid
Geophysical Prospecting,13652478,Hybrid
Geostandards and Geoanalytical Research,1751908X,Hybrid
Geriatrics & Gerontology International,14470594,Hybrid
German Life and Letters,14680483,Hybrid
Gerodontology,17412358,Hybrid
Glia,10981136,Hybrid
Global Biogeochemical Cycles,19449224,Hybrid
Global Business and Organizational Excellence,19322062,Hybrid
Global Change Biology,13652486,Hybrid
Global Ecology and Biogeography,14668238,Hybrid
Global Networks,14710374,Hybrid
Global Policy,17585899,Hybrid
Global Strategy Journal,20425805,Hybrid
Governance,14680491,Hybrid
Grass and Forage Science,13652494,Hybrid
Grassland Science,1744697X,Hybrid
Greenhouse Gases: Science and Technology,21523878,Hybrid
Groundwater,17456584,Hybrid
Groundwater Monitoring & Remediation,17456592,Hybrid
Growth and Change,14682257,Hybrid
Haemophilia,13652516,Hybrid
Hastings Center Report,1552146X,Hybrid
Head & Neck,10970347,Hybrid
Headache: The Journal of Head and Face Pain,15264610,Hybrid
Health Economics,10991050,Hybrid
Health Information and Libraries Journal,14711842,Hybrid
Health Promotion Journal of Australia,22011617,Hybrid
Health Services Research,14756773,Hybrid
Heat Transfer,26884542,Hybrid
Helicobacter,15235378,Hybrid
Helvetica Chimica Acta,15222675,Hybrid
Hematological Oncology,10991069,Hybrid
Hemodialysis International,15424758,Hybrid
Hepatology Research,1872034X,Hybrid
Higher Education Quarterly,14682273,Hybrid
Hippocampus,10981063,Hybrid
Histopathology,13652559,Hybrid
History,1468229X,Hybrid
History and Theory,14682303,Hybrid
History Compass,14780542,Hybrid
HIV Medicine,14681293,Hybrid
HLA: Immune Response Genetics,20592310,Hybrid
Human Factors and Ergonomics in Manufacturing & Service Industries,15206564,Hybrid
Human Psychopharmacology: Clinical and Experimental,10991077,Hybrid
Human Resource Development Quarterly,15321096,Hybrid
Human Resource Management,1099050X,Hybrid
Human Resource Management Journal,17488583,Hybrid
Hydrological Processes,10991085,Hybrid
Ibis,1474919X,Hybrid
IEEJ Transactions on Electrical and Electronic Engineering,19314981,Hybrid
Immunological Reviews,1600065X,Hybrid
Immunology,13652567,Hybrid
Immunology & Cell Biology,14401711,Hybrid
In Practice,20427689,Hybrid
Industrial Relations,1468232X,Hybrid
Industrial Relations Journal,14682338,Hybrid
Infancy,15327078,Hybrid
Infant and Child Development,15227219,Hybrid
Infant Mental Health Journal,10970355,Hybrid
Information Systems Journal,13652575,Hybrid
Insect Conservation and Diversity,17524598,Hybrid
Insect Molecular Biology,13652583,Hybrid
Insect Science,17447917,Hybrid
Integrative Zoology,17494877,Hybrid
"Intelligent Systems in Accounting, Finance and Management",21600074,Hybrid
Internal Medicine Journal,14455994,Hybrid
International Economic Review,14682354,Hybrid
International Endodontic Journal,13652591,Hybrid
International Finance,14682362,Hybrid
International Forum of Allergy & Rhinology,20426984,Hybrid
International Insolvency Review,10991107,Hybrid
International Journal for Numerical and Analytical Methods in Geomechanics,10969853,Hybrid
International Journal for Numerical Methods in Biomedical Engineering,20407947,Hybrid
International Journal for Numerical Methods in Engineering,10970207,Hybrid
International Journal for Numerical Methods in Fluids,10970363,Hybrid
International Journal of Adaptive Control and Signal Processing,10991115,Hybrid
International Journal of Applied Ceramic Technology,17447402,Hybrid
International Journal of Applied Glass Science,20411294,Hybrid
International Journal of Applied Linguistics,14734192,Hybrid
International Journal of Applied Psychoanalytic Studies,15569187,Hybrid
International Journal of Art & Design Education,14768070,Hybrid
International Journal of Auditing,10991123,Hybrid
International Journal of Cancer,10970215,Hybrid
International Journal of Chemical Kinetics,10974601,Hybrid
International Journal of Circuit Theory and Applications,1097007X,Hybrid
International Journal of Climatology,10970088,Hybrid
International Journal of Communication Systems,10991131,Hybrid
International Journal of Consumer Studies,14706431,Hybrid
International Journal of Cosmetic Science,14682494,Hybrid
International Journal of Dairy Technology,14710307,Hybrid
International Journal of Dental Hygiene,16015037,Hybrid
International Journal of Dermatology,13654632,Hybrid
International Journal of Developmental Neuroscience,1873474X,Hybrid
International Journal of Eating Disorders,1098108X,Hybrid
International Journal of Economic Theory,17427363,Hybrid
International Journal of Experimental Pathology,13652613,Hybrid
International Journal of Finance & Economics,10991158,Hybrid
International Journal of Geriatric Psychiatry,10991166,Hybrid
International Journal of Gynecology & Obstetrics,18793479,Hybrid
International Journal of Imaging Systems and Technology,10981098,Hybrid
International Journal of Immunogenetics,1744313X,Hybrid
International Journal of Laboratory Hematology,1751553X,Hybrid
International Journal of Language & Communication Disorders,14606984,Hybrid
International Journal of Management Reviews,14682370,Hybrid
International Journal of Mental Health Nursing,14470349,Hybrid
International Journal of Network Management,10991190,Hybrid
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",10991204,Hybrid
International Journal of Nursing Knowledge,20473095,Hybrid
International Journal of Nursing Practice,1440172X,Hybrid
International Journal of Older People Nursing,17483743,Hybrid
International Journal of Osteoarchaeology,10991212,Hybrid
International Journal of Paediatric Dentistry,1365263X,Hybrid
International Journal of Psychology,1464066X,Hybrid
International Journal of Quantum Chemistry,1097461X,Hybrid
International Journal of Rheumatic Diseases,1756185X,Hybrid
International Journal of Robust and Nonlinear Control,10991239,Hybrid
International Journal of Satellite Communications and Networking,15420981,Hybrid
International Journal of Selection and Assessment,14682389,Hybrid
International Journal of Social Welfare,14682397,Hybrid
International Journal of Systematic Theology,14682400,Hybrid
International Journal of Tourism Research,15221970,Hybrid
International Journal of Training and Development,14682419,Hybrid
International Journal of Urban and Regional Research,14682427,Hybrid
International Journal of Urological Nursing,1749771X,Hybrid
International Journal of Urology,14422042,Hybrid
International Migration,14682435,Hybrid
International Nursing Review,14667657,Hybrid
International Review of Finance,14682443,Hybrid
International Review of Hydrobiology,15222632,Hybrid
International Review of Mission,17586631,Hybrid
International Social Science Journal,14682451,Hybrid
International Social Security Review,1468246X,Hybrid
International Statistical Review,17515823,Hybrid
International Transactions in Operational Research,14753995,Hybrid
Internet Technology Letters,24761508,Hybrid
IPPR Progressive Review,25732331,Hybrid
Irrigation and Drainage,15310361,Hybrid
Island Arc,14401738,Hybrid
Israel Journal of Chemistry,18695868,Hybrid
IUBMB Life,15216551,Hybrid
JACCP: Journal of the American College of Clinical Pharmacy,25749870,Hybrid
Japan Journal of Nursing Science,17427924,Hybrid
Japanese Journal of Sociology,27691357,Hybrid
JCMS: Journal of Common Market Studies,14685965,Hybrid
Journal der Deutschen Dermatologischen Gesellschaft,16100387,Hybrid
Journal For Eighteenth-Century Studies,17540208,Hybrid
Journal for Specialists In Pediatric Nursing,17446155,Hybrid
Journal for the Anthropology of North America,24755389,Hybrid
Journal for the Scientific Study of Religion,14685906,Hybrid
Journal for the Theory of Social Behaviour,14685914,Hybrid
Journal of Accounting Research,1475679X,Hybrid
Journal of Addictions & Offender Counseling,21611874,Hybrid
Journal of Adolescence,10959254,Hybrid
Journal of Adolescent & Adult Literacy,19362706,Hybrid
Journal of Advanced Manufacturing and Processing,2637403X,Hybrid
Journal of Advanced Nursing,13652648,Hybrid
Journal of Agrarian Change,14710366,Hybrid
Journal of Agricultural Economics,14779552,Hybrid
Journal of Agronomy and Crop Science,1439037X,Hybrid
Journal of Analytical Psychology,14685922,Hybrid
Journal of Anatomy,14697580,Hybrid
Journal of Animal Breeding and Genetics,14390388,Hybrid
Journal of Animal Ecology,13652656,Hybrid
Journal of Animal Physiology and Animal Nutrition,14390396,Hybrid
Journal of Applied Behavior Analysis,19383703,Hybrid
Journal of Applied Corporate Finance,17456622,Hybrid
Journal of Applied Crystallography,16005767,Hybrid
Journal of Applied Ecology,13652664,Hybrid
Journal of Applied Econometrics,10991255,Hybrid
Journal of Applied Entomology,14390418,Hybrid
Journal of Applied Philosophy,14685930,Hybrid
Journal of Applied Polymer Science,10974628,Hybrid
Journal of Applied Research in Intellectual Disabilities,14683148,Hybrid
Journal of Applied Social Psychology,15591816,Hybrid
Journal of Applied Toxicology,10991263,Hybrid
Journal of Basic Microbiology,15214028,Hybrid
Journal of Behavioral Decision Making,10990771,Hybrid
Journal of Biochemical and Molecular Toxicology,10990461,Hybrid
Journal of Biogeography,13652699,Hybrid
