Order (# NIH papers 01-07/2025),Journal,ISSN1,ISSN2,ISSN3,ISSN4,Publisher,Publications acknowledging NIH funding (01-07/2025),Journal OA status,Publisher type,APC 2025 (USD),APC category,Total APCs (based on 01-07/2025),APCs covered by $2k cap,% covered by $2k cap,APCs not covered by $2k cap,APCs covered by $3k cap,% covered by $3k cap,APCs not covered by $3k cap,APCs covered by $6 cap,% covered by $6 cap,APCs not covered by $6 cap
24,PLOS Pathogens,1553-7366,1553-7374,,,Public Library of Science (PLoS),144,gold,not for profit,3043,"$3,001-$4,000",438192,288000,0.657246139,150192,432000,0.985869208,6192,438192,1,0
25,BMJ Open,2044-6055,,,,BMJ,138,gold,for profit,3025.75,"$3,001-$4,000",417553.5,276000,0.660993142,141553.5,414000,0.991489713,3553.5,417553.5,1,0
26,BMC Public Health,1472-698X,1471-2458,,,Springer Nature,136,gold,for profit,3290,"$3,001-$4,000",447440,272000,0.607902736,175440,408000,0.911854103,39440,447440,1,0
27,Cell,0092-8674,1097-4172,,,Elsevier,131,hybrid,for profit,11400,"$11,001-$12,000",1493400,262000,0.175438596,1231400,393000,0.263157895,1100400,786000,0.526315789,707400
28,Journal of Virology,0022-538X,1098-5514,,,American Society for Microbiology,129,S2O,not for profit,1580,"$1,001-$2,000",203820,203820,1,0,203820,1,0,203820,1,0
29,Nutrients,2072-6643,,,,MDPI,128,gold,for profit,3625,"$3,001-$4,000",464000,256000,0.551724138,208000,384000,0.827586207,80000,464000,1,0
30,Frontiers in Public Health,2296-2565,,,,Frontiers,127,gold,for profit,3938,"$3,001-$4,000",500126,254000,0.507872016,246126,381000,0.761808024,119126,500126,1,0
31,Viruses,1999-4915,,,,MDPI,126,gold,for profit,3250,"$3,001-$4,000",409500,252000,0.615384615,157500,378000,0.923076923,31500,409500,1,0
32,STAR Protocols,2666-1667,,,,Elsevier,124,gold,for profit,1550,"$1,001-$2,000",192200,192200,1,0,192200,1,0,192200,1,0
33,Analytical Chemistry,0003-2700,1520-6882,,,American Chemical Society (ACS),120,hybrid,not for profit,4500,"$4,001-$5,000",540000,240000,0.444444444,300000,360000,0.666666667,180000,540000,1,0
34,Journal of Alzheimer's Disease,1387-2877,1875-8908,,,SAGE Publications,118,hybrid,for profit,4150,"$4,001-$5,000",489700,236000,0.481927711,253700,354000,0.722891566,135700,489700,1,0
35,AIDS and Behavior,1090-7165,1573-3254,,,Springer Nature,117,hybrid,for profit,4590,"$4,001-$5,000",537030,234000,0.435729847,303030,351000,0.653594771,186030,537030,1,0
36,GeroScience,2509-2715,2509-2723,,,Springer Nature,117,hybrid,for profit,4490,"$4,001-$5,000",525330,234000,0.445434298,291330,351000,0.668151448,174330,525330,1,0
37,Advanced Science,2198-3844,,,,Wiley,114,gold,for profit,6730,"$6,001-$7,000",767220,228000,0.29717682,539220,342000,0.44576523,425220,684000,0.891530461,83220
38,Journal of Affective Disorders,0165-0327,1573-2517,,,Elsevier,113,hybrid,for profit,3790,"$3,001-$4,000",428270,226000,0.527704485,202270,339000,0.791556728,89270,428270,1,0
39,PLOS Computational Biology,1553-734X,1553-7358,,,Public Library of Science (PLoS),112,gold,not for profit,3043,"$3,001-$4,000",340816,224000,0.657246139,116816,336000,0.985869208,4816,340816,1,0
40,Journal of Medicinal Chemistry,0022-2623,1520-4804,,,American Chemical Society (ACS),111,hybrid,not for profit,4500,"$4,001-$5,000",499500,222000,0.444444444,277500,333000,0.666666667,166500,499500,1,0
41,Clinical Cancer Research,1078-0432,1557-3265,,,American Association for Cancer Research (AACR),111,hybrid,not for profit,8000,"$7,001-$8,000",888000,222000,0.25,666000,333000,0.375,555000,666000,0.75,222000
42,International Journal of Environmental Research and Public Health,1661-7827,1660-4601,,,MDPI,110,gold,for profit,3125,"$3,001-$4,000",343750,220000,0.64,123750,330000,0.96,13750,343750,1,0
43,Blood,0006-4971,1528-0020,,,American Society of Hematology,109,hybrid,not for profit,6600,"$6,001-$7,000",719400,218000,0.303030303,501400,327000,0.454545455,392400,654000,0.909090909,65400
44,Biochemistry,0006-2960,1520-4995,,,American Chemical Society (ACS),108,hybrid,not for profit,4500,"$4,001-$5,000",486000,216000,0.444444444,270000,324000,0.666666667,162000,486000,1,0
45,Current Biology,0960-9822,1879-0445,,,Elsevier,108,hybrid,for profit,7030,"$7,001-$8,000",759240,216000,0.284495021,543240,324000,0.426742532,435240,648000,0.853485064,111240
46,Magnetic Resonance in Medicine,0740-3194,1522-2594,,,Wiley,107,hybrid,for profit,3680,"$3,001-$4,000",393760,214000,0.543478261,179760,321000,0.815217391,72760,393760,1,0
47,Drug and Alcohol Dependence,0376-8716,1879-0046,,,Elsevier,106,hybrid,for profit,4380,"$4,001-$5,000",464280,212000,0.456621005,252280,318000,0.684931507,146280,464280,1,0
48,Biomolecules,2218-273X,2218-273X,,,MDPI,105,gold,for profit,3375,"$3,001-$4,000",354375,210000,0.592592593,144375,315000,0.888888889,39375,354375,1,0
49,Imaging Neuroscience,2837-6056,,,,MIT Press,104,gold,not for profit,1600,"$1,001-$2,000",166400,166400,1,0,166400,1,0,166400,1,0
50,microPublication Biology,2578-9430,,,,Caltech Library,103,gold,not for profit,350,"$1-$1,000",36050,36050,1,0,36050,1,0,36050,1,0
51,Blood Advances,2473-9529,2473-9537,,,American Society of Hematology,103,gold,not for profit,4635,"$4,001-$5,000",477405,206000,0.431499461,271405,309000,0.647249191,168405,477405,1,0
52,Investigative Ophthalmology & Visual Science,0146-0404,1552-5783,,,Association for Research in Vision and Ophthalmology (ARVO),101,gold,not for profit,1850,"$1,001-$2,000",186850,186850,1,0,186850,1,0,186850,1,0
54,Journal of Racial and Ethnic Health Disparities,2197-3792,2196-8837,,,Springer Nature,97,hybrid,for profit,5190,"$5,001-$6,000",503430,194000,0.385356455,309430,291000,0.578034682,212430,503430,1,0
56,Vaccine,0264-410X,1873-2518,,,Elsevier,94,hybrid,for profit,3680,"$3,001-$4,000",345920,188000,0.543478261,157920,282000,0.815217391,63920,345920,1,0
57,The Journal of Infectious Diseases,0022-1899,1537-6613,,,Oxford University Press (OUP),94,hybrid,not for profit,5001,"$5,001-$6,000",470094,188000,0.399920016,282094,282000,0.599880024,188094,470094,1,0
58,Microbiology Spectrum,2165-0497,,,,American Society for Microbiology,93,gold,not for profit,3450,"$3,001-$4,000",320850,186000,0.579710145,134850,279000,0.869565217,41850,320850,1,0
59,JAIDS Journal of Acquired Immune Deficiency Syndromes,1525-4135,1944-7884,,,Wolters Kluwer,93,hybrid,for profit,4900,"$4,001-$5,000",455700,186000,0.408163265,269700,279000,0.612244898,176700,455700,1,0
60,npj Digital Medicine,2398-6352,,,,Springer Nature,93,gold,for profit,4090,"$4,001-$5,000",380370,186000,0.488997555,194370,279000,0.733496333,101370,380370,1,0
61,Cancer,1097-0142,0008-543X,,,Wiley,92,hybrid,for profit,4790,"$4,001-$5,000",440680,184000,0.417536534,256680,276000,0.626304802,164680,440680,1,0
62,Medical Physics,0094-2405,2473-4209,,,Wiley,92,hybrid,for profit,3360,"$3,001-$4,000",309120,184000,0.595238095,125120,276000,0.892857143,33120,309120,1,0
63,PLOS Genetics,1553-7390,1553-7404,,,Public Library of Science (PLoS),92,gold,not for profit,3043,"$3,001-$4,000",279956,184000,0.657246139,95956,276000,0.985869208,3956,279956,1,0
64,Journal for ImmunoTherapy of Cancer,2051-1426,,,,BMJ,91,gold,for profit,3125,"$3,001-$4,000",284375,182000,0.64,102375,273000,0.96,11375,284375,1,0
65,PLOS Global Public Health,2767-3375,,,,Public Library of Science (PLoS),91,gold,not for profit,2496,"$2,001-$3,000",227136,182000,0.801282051,45136,227136,1,0,227136,1,0
66,JACC Advances,2772-963X,,,,Elsevier,91,gold,for profit,2936,"$2,001-$3,000",267176,182000,0.68119891,85176,267176,1,0,267176,1,0
67,Journal of Molecular Biology,0022-2836,1089-8638,,,Elsevier,90,hybrid,for profit,4580,"$4,001-$5,000",412200,180000,0.436681223,232200,270000,0.655021834,142200,412200,1,0
68,Journal of the American Heart Association,2047-9980,,,,Wolters Kluwer,90,gold,for profit,3810,"$3,001-$4,000",342900,180000,0.524934383,162900,270000,0.787401575,72900,342900,1,0
69,Journal of the American Geriatrics Society,0002-8614,1532-5415,,,Wiley,90,hybrid,for profit,4760,"$4,001-$5,000",428400,180000,0.420168067,248400,270000,0.630252101,158400,428400,1,0
70,PLOS Biology,1544-9173,1545-7885,,,Public Library of Science (PLoS),88,gold,not for profit,5500,"$5,001-$6,000",484000,176000,0.363636364,308000,264000,0.545454545,220000,484000,1,0
71,ACS Omega,2470-1343,,,,American Chemical Society (ACS),87,gold,not for profit,1935,"$1,001-$2,000",168345,168345,1,0,168345,1,0,168345,1,0
72,The Journal of Immunology,0022-1767,1550-6606,,,Oxford University Press (OUP),87,hybrid,not for profit,3710,"$3,001-$4,000",322770,174000,0.539083558,148770,261000,0.808625337,61770,322770,1,0
73,Bioinformatics,1367-4803,1367-4811,,,Oxford University Press (OUP),87,gold,not for profit,4188,"$4,001-$5,000",364356,174000,0.477554919,190356,261000,0.716332378,103356,364356,1,0
74,Biophysical Journal,0006-3495,1542-0086,,,Elsevier,86,hybrid,for profit,3000,"$2,001-$3,000",258000,172000,0.666666667,86000,258000,1,0,258000,1,0
75,Open Forum Infectious Diseases,2328-8957,,,,Oxford University Press (OUP),86,gold,not for profit,4256,"$4,001-$5,000",366016,172000,0.469924812,194016,258000,0.704887218,108016,366016,1,0
76,Neuron,0896-6273,1097-4199,,,Elsevier,86,hybrid,for profit,10400,"$10,001-$11,000",894400,172000,0.192307692,722400,258000,0.288461538,636400,516000,0.576923077,378400
77,Nature Medicine,1078-8956,1546-170X,,,Springer Nature,85,hybrid,for profit,12690,"$12,001-$13,000",1078650,170000,0.157604413,908650,255000,0.236406619,823650,510000,0.472813239,568650
78,Journal of Clinical and Translational Science,2059-8661,,,,Cambridge University Press (CUP),85,gold,not for profit,3200,"$3,001-$4,000",272000,170000,0.625,102000,255000,0.9375,17000,272000,1,0
79,The FASEB Journal,0892-6638,1530-6860,,,Wiley,83,hybrid,for profit,3740,"$3,001-$4,000",310420,166000,0.534759358,144420,249000,0.802139037,61420,310420,1,0
80,Social Science & Medicine,0277-9536,1873-5347,,,Elsevier,82,hybrid,for profit,4060,"$4,001-$5,000",332920,164000,0.492610837,168920,246000,0.738916256,86920,332920,1,0
81,ACS Nano,1936-0851,1936-086X,,,American Chemical Society (ACS),82,hybrid,not for profit,4500,"$4,001-$5,000",369000,164000,0.444444444,205000,246000,0.666666667,123000,369000,1,0
82,Molecular Cell,1097-2765,1097-4164,,,Elsevier,78,hybrid,for profit,10400,"$10,001-$11,000",811200,156000,0.192307692,655200,234000,0.288461538,577200,468000,0.576923077,343200
84,JMIR Formative Research,2561-326X,,,,JMIR Publications,77,gold,for profit,2500,"$2,001-$3,000",192500,154000,0.8,38500,192500,1,0,192500,1,0
85,The Journal of Clinical Endocrinology & Metabolism,0021-972X,1945-7197,,,The Endocrine Society,77,hybrid,not for profit,3938,"$3,001-$4,000",303226,154000,0.507872016,149226,231000,0.761808024,72226,303226,1,0
86,Alcohol Clinical and Experimental Research,0145-6008,2993-7175,,,Wiley,77,hybrid,for profit,3910,"$3,001-$4,000",301070,154000,0.511508951,147070,231000,0.767263427,70070,301070,1,0
87,EBioMedicine,2352-3964,,,,Elsevier,76,gold,for profit,6360,"$6,001-$7,000",483360,152000,0.314465409,331360,228000,0.471698113,255360,456000,0.943396226,27360
88,Contemporary Clinical Trials,1551-7144,1559-2030,,,Elsevier,76,hybrid,for profit,3140,"$3,001-$4,000",238640,152000,0.636942675,86640,228000,0.955414013,10640,238640,1,0
89,NeuroImage,1053-8119,1095-9572,,,Elsevier,76,gold,for profit,3540,"$3,001-$4,000",269040,152000,0.564971751,117040,228000,0.847457627,41040,269040,1,0
90,Molecular Psychiatry,1359-4184,1476-5578,,,Springer Nature,76,hybrid,for profit,5490,"$5,001-$6,000",417240,152000,0.364298725,265240,228000,0.546448087,189240,417240,1,0
91,The Journal of Physiology,0022-3751,1469-7793,,,Wiley,75,hybrid,for profit,5400,"$5,001-$6,000",405000,150000,0.37037037,255000,225000,0.555555556,180000,405000,1,0
92,Nature Genetics,1061-4036,1546-1718,,,Springer Nature,74,hybrid,for profit,12690,"$12,001-$13,000",939060,148000,0.157604413,791060,222000,0.236406619,717060,444000,0.472813239,495060
93,Journal of General Internal Medicine,0884-8734,1525-1497,,,Springer Nature,74,hybrid,for profit,5290,"$5,001-$6,000",391460,148000,0.378071834,243460,222000,0.56710775,169460,391460,1,0
94,JMIR Research Protocols,1929-0748,,,,JMIR Publications,72,gold,for profit,1900,"$1,001-$2,000",136800,136800,1,0,136800,1,0,136800,1,0
95,Angewandte Chemie International Edition,1433-7851,1521-3773,,,Wiley,72,hybrid,for profit,5790,"$5,001-$6,000",416880,144000,0.345423143,272880,216000,0.518134715,200880,416880,1,0
96,Aging Cell,1474-9718,1474-9726,,,Wiley,72,gold,for profit,3790,"$3,001-$4,000",272880,144000,0.527704485,128880,216000,0.791556728,56880,272880,1,0
97,eNeuro,2373-2822,,,,Society for Neuroscience,72,gold,not for profit,3690,"$3,001-$4,000",265680,144000,0.54200542,121680,216000,0.81300813,49680,265680,1,0
98,Human Brain Mapping,1065-9471,1097-0193,,,Wiley,72,gold,for profit,3520,"$3,001-$4,000",253440,144000,0.568181818,109440,216000,0.852272727,37440,253440,1,0
99,Journal of Chemical Information and Modeling,1549-9596,1549-960X,,,American Chemical Society (ACS),71,hybrid,not for profit,4500,"$4,001-$5,000",319500,142000,0.444444444,177500,213000,0.666666667,106500,319500,1,0
100,Journal of Clinical Medicine,2077-0383,,,,MDPI,71,gold,for profit,3250,"$3,001-$4,000",230750,142000,0.615384615,88750,213000,0.923076923,17750,230750,1,0
101,Substance Use & Misuse,1082-6084,1532-2491,,,Taylor & Francis,71,hybrid,for profit,4000,"$3,001-$4,000",284000,142000,0.5,142000,213000,0.75,71000,284000,1,0
102,Cancer Epidemiology Biomarkers & Prevention,1055-9965,1538-7755,,,American Association for Cancer Research (AACR),71,hybrid,not for profit,5000,"$4,001-$5,000",355000,142000,0.4,213000,213000,0.6,142000,355000,1,0
103,Immunity,1074-7613,1097-4180,,,Elsevier,70,hybrid,for profit,10400,"$10,001-$11,000",728000,140000,0.192307692,588000,210000,0.288461538,518000,420000,0.576923077,308000
104,Journal of Allergy and Clinical Immunology,0091-6749,1097-6825,,,Elsevier,69,hybrid,for profit,4900,"$4,001-$5,000",338100,138000,0.408163265,200100,207000,0.612244898,131100,338100,1,0
105,American Journal of Human Genetics,0002-9297,1537-6605,,,Elsevier,69,hybrid,for profit,5150,"$5,001-$6,000",355350,138000,0.388349515,217350,207000,0.582524272,148350,355350,1,0
106,Angewandte Chemie,0044-8249,1521-3757,,,Wiley,69,hybrid,for profit,5790,"$5,001-$6,000",399510,138000,0.345423143,261510,207000,0.518134715,192510,399510,1,0
107,Environmental Research,0013-9351,1096-0953,,,Elsevier,68,hybrid,for profit,3860,"$3,001-$4,000",262480,136000,0.518134715,126480,204000,0.777202073,58480,262480,1,0
108,mSphere,1556-6811,2379-5042,,,American Society for Microbiology,68,gold,not for profit,4300,"$4,001-$5,000",292400,136000,0.465116279,156400,204000,0.697674419,88400,292400,1,0
109,Annals of Surgical Oncology,1068-9265,1534-4681,,,Springer Nature,67,hybrid,for profit,4590,"$4,001-$5,000",307530,134000,0.435729847,173530,201000,0.653594771,106530,307530,1,0
110,Protein Science,0961-8368,1469-896X,,,Wiley,67,hybrid,for profit,4480,"$4,001-$5,000",300160,134000,0.446428571,166160,201000,0.669642857,99160,300160,1,0
111,Development,0950-1991,1477-9129,,,The Company of Biologists,66,hybrid,not for profit,5200,"$5,001-$6,000",343200,132000,0.384615385,211200,198000,0.576923077,145200,343200,1,0
112,Genome Biology,1474-760X,1465-6906,,,Springer Nature,66,gold,for profit,5490,"$5,001-$6,000",362340,132000,0.364298725,230340,198000,0.546448087,164340,362340,1,0
113,Physiological Reports,2051-817X,,,,Wiley,66,gold,for profit,2050,"$2,001-$3,000",135300,132000,0.975609756,3300,135300,1,0,135300,1,0
114,Communications Medicine,2730-664X,,,,Springer Nature,66,gold,for profit,3690,"$3,001-$4,000",243540,132000,0.54200542,111540,198000,0.81300813,45540,243540,1,0
115,Frontiers in Oncology,2234-943X,,,,Frontiers,66,gold,for profit,3938,"$3,001-$4,000",259908,132000,0.507872016,127908,198000,0.761808024,61908,259908,1,0
116,Frontiers in Neuroscience,1662-4548,1662-453X,,,Frontiers,66,gold,for profit,3938,"$3,001-$4,000",259908,132000,0.507872016,127908,198000,0.761808024,61908,259908,1,0
117,Molecular Therapy,1525-0016,1525-0024,,,Elsevier,66,hybrid,for profit,4500,"$4,001-$5,000",297000,132000,0.444444444,165000,198000,0.666666667,99000,297000,1,0
118,Genetics,0016-6731,1943-2631,,,Oxford University Press (OUP),66,hybrid,not for profit,4611,"$4,001-$5,000",304326,132000,0.433745391,172326,198000,0.650618087,106326,304326,1,0
119,Journal of Medical Internet Research,1438-8871,1439-4456,,,JMIR Publications,66,gold,for profit,3350,"$3,001-$4,000",221100,132000,0.597014925,89100,198000,0.895522388,23100,221100,1,0
120,ACS Chemical Biology,1554-8929,1554-8937,,,American Chemical Society (ACS),65,hybrid,not for profit,4500,"$4,001-$5,000",292500,130000,0.444444444,162500,195000,0.666666667,97500,292500,1,0
121,Journal of Proteome Research,1535-3893,1535-3907,,,American Chemical Society (ACS),64,hybrid,not for profit,4500,"$4,001-$5,000",288000,128000,0.444444444,160000,192000,0.666666667,96000,288000,1,0
122,BMC Health Services Research,1472-6963,,,,Springer Nature,64,gold,for profit,3290,"$3,001-$4,000",210560,128000,0.607902736,82560,192000,0.911854103,18560,210560,1,0
123,Statistics in Medicine,0277-6715,1097-0258,,,Wiley,64,hybrid,for profit,5450,"$5,001-$6,000",348800,128000,0.366972477,220800,192000,0.550458716,156800,348800,1,0
124,Epilepsia,0013-9580,1528-1157,1528-1167,,Wiley,64,hybrid,for profit,4360,"$4,001-$5,000",279040,128000,0.458715596,151040,192000,0.688073394,87040,279040,1,0
125,Biomedicines,2227-9059,,,,MDPI,64,gold,for profit,3250,"$3,001-$4,000",208000,128000,0.615384615,80000,192000,0.923076923,16000,208000,1,0
126,AJP Heart and Circulatory Physiology,0363-6135,1522-1539,,,American Physiological Society,63,gold,not for profit,995,"$1-$1,000",62685,62685,1,0,62685,1,0,62685,1,0
127,ACS Applied Materials & Interfaces,1944-8244,1944-8252,,,American Chemical Society (ACS),63,hybrid,not for profit,4500,"$4,001-$5,000",283500,126000,0.444444444,157500,189000,0.666666667,94500,283500,1,0
128,Nicotine & Tobacco Research,1462-2203,1469-994X,,,Oxford University Press (OUP),63,hybrid,not for profit,5500,"$5,001-$6,000",346500,126000,0.363636364,220500,189000,0.545454545,157500,346500,1,0
129,Pediatric Blood & Cancer,1545-5009,1545-5017,,,Wiley,63,hybrid,for profit,4640,"$4,001-$5,000",292320,126000,0.431034483,166320,189000,0.646551724,103320,292320,1,0
130,Vaccines,2076-393X,2076-393X,,,MDPI,62,gold,for profit,3375,"$3,001-$4,000",209250,124000,0.592592593,85250,186000,0.888888889,23250,209250,1,0
131,Nature Neuroscience,1097-6256,1546-1726,,,Springer Nature,62,hybrid,for profit,12690,"$12,001-$13,000",786780,124000,0.157604413,662780,186000,0.236406619,600780,372000,0.472813239,414780
132,Diabetes Care,0149-5992,1935-5548,,,American Diabetes Association,62,hybrid,not for profit,2500,"$2,001-$3,000",155000,124000,0.8,31000,155000,1,0,155000,1,0
133,Journal of Neural Engineering,1741-2560,1741-2552,,,IOP Publishing,62,hybrid,for profit,3325,"$3,001-$4,000",206150,124000,0.601503759,82150,186000,0.902255639,20150,206150,1,0
134,Physics in Medicine and Biology,0031-9155,1361-6560,,,IOP Publishing,61,hybrid,for profit,3325,"$3,001-$4,000",202825,122000,0.601503759,80825,183000,0.902255639,19825,202825,1,0
135,Journal of Surgical Research,0022-4804,1095-8673,,,Elsevier,60,hybrid,for profit,3410,"$3,001-$4,000",204600,120000,0.586510264,84600,180000,0.879765396,24600,204600,1,0
136,The Journal of Physical Chemistry B,1520-6106,1520-5207,,,American Chemical Society (ACS),60,hybrid,not for profit,4500,"$4,001-$5,000",270000,120000,0.444444444,150000,180000,0.666666667,90000,270000,1,0
137,Scientific Data,2052-4463,,,,Springer Nature,60,gold,for profit,2490,"$2,001-$3,000",149400,120000,0.803212851,29400,149400,1,0,149400,1,0
138,Nature Microbiology,2058-5276,,,,Springer Nature,60,hybrid,for profit,12690,"$12,001-$13,000",761400,120000,0.157604413,641400,180000,0.236406619,581400,360000,0.472813239,401400
139,Nature Structural & Molecular Biology,1545-9993,2331-365X,1545-9985,,Springer Nature,59,hybrid,for profit,12690,"$12,001-$13,000",748710,118000,0.157604413,630710,177000,0.236406619,571710,354000,0.472813239,394710
140,Chemical Science,2041-6520,2041-6539,,,Royal Society of Chemistry (RSC),59,gold (diamond),not for profit,0,0,0,0,1,0,0,1,0,0,1,0
141,Pediatric Research,0031-3998,1530-0447,,,Springer Nature,58,hybrid,for profit,4390,"$4,001-$5,000",254620,116000,0.455580866,138620,174000,0.683371298,80620,254620,1,0
142,Nature Methods,1548-7091,1548-7105,,,Springer Nature,58,hybrid,for profit,12690,"$12,001-$13,000",736020,116000,0.157604413,620020,174000,0.236406619,562020,348000,0.472813239,388020
143,Biological Psychiatry,0006-3223,1873-2402,,,Elsevier,58,hybrid,for profit,5489,"$5,001-$6,000",318362,116000,0.364365094,202362,174000,0.546547641,144362,318362,1,0
144,Frontiers in Psychiatry,1664-0640,,,,Frontiers,58,gold,for profit,3938,"$3,001-$4,000",228404,116000,0.507872016,112404,174000,0.761808024,54404,228404,1,0
146,Journal of Experimental Medicine,0022-1007,1540-9538,,,Rockefeller University Press,57,hybrid,not for profit,6000,"$5,001-$6,000",342000,114000,0.333333333,228000,171000,0.5,171000,342000,1,0
147,Cancer Medicine,2045-7634,,,,Wiley,57,gold,for profit,4700,"$4,001-$5,000",267900,114000,0.425531915,153900,171000,0.638297872,96900,267900,1,0
148,Environmental Science and Technology,0013-936X,1520-5851,,,American Chemical Society (ACS),57,hybrid,not for profit,4500,"$4,001-$5,000",256500,114000,0.444444444,142500,171000,0.666666667,85500,256500,1,0
149,Alzheimer's & Dementia: Translational Research & Clinical Interventions,2352-8737,,,,Wiley,57,gold,for profit,2540,"$2,001-$3,000",144780,114000,0.787401575,30780,144780,1,0,144780,1,0
150,Supportive Care in Cancer,0941-4355,1433-7339,,,Springer Nature,57,hybrid,for profit,4690,"$4,001-$5,000",267330,114000,0.426439232,153330,171000,0.639658849,96330,267330,1,0
151,"G3: Genes, Genomes, Genetics",2160-1836,,,,Oxford University Press (OUP),56,gold,not for profit,2790,"$2,001-$3,000",156240,112000,0.716845878,44240,156240,1,0,156240,1,0
152,Translational Psychiatry,2158-3188,,,,Springer Nature,56,gold,for profit,5290,"$5,001-$6,000",296240,112000,0.378071834,184240,168000,0.56710775,128240,296240,1,0
